iso3,indicator,year,value
AFE,NY.GDP.PCAP.KD,2025,1449.27138341047
AFE,NY.GDP.PCAP.KD,2024,1432.50843496815
AFE,NY.GDP.PCAP.KD,2023,1428.54623843676
AFE,NY.GDP.PCAP.KD,2022,1437.09139374966
AFE,NY.GDP.PCAP.KD,2021,1422.65546311873
AFE,NY.GDP.PCAP.KD,2020,1398.57793000832
AFE,NY.GDP.PCAP.KD,2019,1480.22900239543
AFE,NY.GDP.PCAP.KD,2018,1492.18670204384
AFE,NY.GDP.PCAP.KD,2017,1493.1423907296
AFE,NY.GDP.PCAP.KD,2016,1493.11936575691
AFE,NY.GDP.PCAP.KD,2015,1498.71597073834
AFE,NY.GDP.PCAP.KD,2014,1495.79844862987
AFE,NY.GDP.PCAP.KD,2013,1478.87995623663
AFE,NY.GDP.PCAP.KD,2012,1452.76568595828
AFE,NY.GDP.PCAP.KD,2011,1464.88611192938
AFE,NY.GDP.PCAP.KD,2010,1449.78072652181
AFE,NY.GDP.PCAP.KD,2009,1414.50548927128
AFE,NY.GDP.PCAP.KD,2008,1440.52144510506
AFE,NY.GDP.PCAP.KD,2007,1417.37331385996
AFE,NY.GDP.PCAP.KD,2006,1364.58002599767
AFE,NY.GDP.PCAP.KD,2005,1314.2677841971
AFE,NY.GDP.PCAP.KD,2004,1271.19569954919
AFE,NY.GDP.PCAP.KD,2003,1235.59805226329
AFE,NY.GDP.PCAP.KD,2002,1231.33260616804
AFE,NY.GDP.PCAP.KD,2001,1216.22788108397
AFE,NY.GDP.PCAP.KD,2000,1205.87666437284
AFE,NY.GDP.PCAP.KD,1999,1199.43029122354
AFE,NY.GDP.PCAP.KD,1998,1199.70458220191
AFE,NY.GDP.PCAP.KD,1997,1209.72360539762
AFE,NY.GDP.PCAP.KD,1996,1195.05178683805
AFE,NY.GDP.PCAP.KD,1995,1163.1260924151
AFE,NY.GDP.PCAP.KD,1994,1143.91396339554
AFE,NY.GDP.PCAP.KD,1993,1152.59004074875
AFE,NY.GDP.PCAP.KD,1992,1194.98293940344
AFE,NY.GDP.PCAP.KD,1991,1257.32746247235
AFE,NY.GDP.PCAP.KD,1990,1293.76522236797
AFW,NY.GDP.PCAP.KD,2025,1860.36585549564
AFW,NY.GDP.PCAP.KD,2024,1820.07044608507
AFW,NY.GDP.PCAP.KD,2023,1782.32607004266
AFW,NY.GDP.PCAP.KD,2022,1761.05945140847
AFW,NY.GDP.PCAP.KD,2021,1725.17121673839
AFW,NY.GDP.PCAP.KD,2020,1722.44898220443
AFW,NY.GDP.PCAP.KD,2019,1832.1636948549
AFW,NY.GDP.PCAP.KD,2018,1817.65066402569
AFW,NY.GDP.PCAP.KD,2017,1811.55471646765
AFW,NY.GDP.PCAP.KD,2016,1817.66095620629
AFW,NY.GDP.PCAP.KD,2015,1863.40151301991
AFW,NY.GDP.PCAP.KD,2014,1859.65082949513
AFW,NY.GDP.PCAP.KD,2013,1808.05542437383
AFW,NY.GDP.PCAP.KD,2012,1752.04877339883
AFW,NY.GDP.PCAP.KD,2011,1713.47507358227
AFW,NY.GDP.PCAP.KD,2010,1679.8619541977
AFW,NY.GDP.PCAP.KD,2009,1614.44023110383
AFW,NY.GDP.PCAP.KD,2008,1564.2103448338
AFW,NY.GDP.PCAP.KD,2007,1515.04513261704
