iso3,crop_standard_name,research_share,production_share,research_minus_production_share
CHN,wheat,0.056718049775496,0.01845511308764332,0.03826293668785268
IND,rice,0.05655933140278362,0.025274399542609963,0.031284931860173656
USA,maize,0.07896415832707691,0.049204678979775575,0.02975947934730134
IND,wheat,0.038607458427768804,0.01447636195291251,0.024131096474856294
USA,wheat,0.02373370042850032,0.006663450560334105,0.017070249868166215
USA,soybean,0.03133843196462308,0.015599081260769835,0.015739350703853246
PAK,wheat,0.01637667169929626,0.0035145321711822614,0.012862139528113997
IRN,wheat,0.010477769802572416,0.00177914820816494,0.008698621594407476
USA,cotton,0.0093392404854425,0.0014469777693202322,0.007892262716122268
MAR,wheat,0.008291463505185259,0.000661564113112351,0.007629899392072908
ETH,maize,0.00855547030336031,0.0015596618634073826,0.0069958084399529274
AUS,wheat,0.010837243344730412,0.003873032793161925,0.006964210551568487
KEN,maize,0.006641421016591177,0.0004866419475281468,0.0061547790690630304
DEU,wheat,0.008771350862284704,0.002999705360155728,0.005771645502128976
IDN,rice,0.013344718626504631,0.007602123373232736,0.005742595253271895
