iso3,crop_standard_name,research_share,production_share,research_minus_production_share
BRA,sugarcane,0.009611497496060524,0.10127764010240556,-0.09166614260634504
IND,sugarcane,0.009933255781336369,0.054784442517888866,-0.0448511867365525
IDN,oilpalm,0.0,0.031217065824065696,-0.031217065824065696
CHN,sugarcane,0.0018150467374534892,0.014667949027058211,-0.012852902289604722
THA,sugarcane,0.0019800509863128974,0.013689839819224635,-0.011709788832911738
MYS,oilpalm,0.0017325446130237853,0.013162162092300757,-0.011429617479276972
CHN,potato,0.0019800509863128974,0.012574676492616458,-0.010594625506303561
PAK,sugarcane,0.00028875743550396416,0.0107122332116495,-0.010423475776145536
RUS,wheat,0.0027932862128342657,0.01130331778577757,-0.008510031572943305
NGA,yam,0.0,0.007820934274884726,-0.007820934274884726
MEX,sugarcane,0.0,0.007689824086984788,-0.007689824086984788
CHN,maize,0.029132875171535663,0.03637548879107682,-0.007242613619541156
CHN,sweet_potato,0.0,0.007047781166188008,-0.007047781166188008
BRA,maize,0.006806425265450585,0.013294580175583178,-0.006488154910132594
ARG,maize,0.0011962808042307088,0.007620299960539415,-0.006424019156308706
