,model,term,estimate,std_error,ci_low,ci_high,n,cov_type
0,participation_logit,const,-13.834,3.322,-20.345,-7.324,1799,cluster
1,participation_logit,log_area,0.706,0.054,0.6,0.813,1799,cluster
2,participation_logit,log_gdp_pc,0.182,0.326,-0.458,0.821,1799,cluster
3,participation_logit,rd,0.283,0.135,0.018,0.547,1799,cluster
4,participation_logit,tertiary,0.221,0.512,-0.782,1.223,1799,cluster
5,participation_logit,internet,1.163,1.016,-0.828,3.153,1799,cluster
6,participation_logit,need,-0.016,1.092,-2.157,2.125,1799,cluster
7,participation_logit,yield_volatility,0.465,0.976,-1.449,2.379,1799,cluster
8,participation_logit,log_population,0.099,0.097,-0.092,0.29,1799,cluster
9,participation_probit,const,-8.233,1.834,-11.827,-4.639,1799,cluster
10,participation_probit,log_area,0.378,0.029,0.321,0.436,1799,cluster
11,participation_probit,log_gdp_pc,0.144,0.179,-0.207,0.495,1799,cluster
12,participation_probit,rd,0.157,0.08,0.0,0.313,1799,cluster
13,participation_probit,tertiary,0.161,0.285,-0.398,0.72,1799,cluster
14,participation_probit,internet,0.529,0.549,-0.547,1.606,1799,cluster
15,participation_probit,need,0.051,0.603,-1.13,1.232,1799,cluster
16,participation_probit,yield_volatility,0.355,0.497,-0.618,1.328,1799,cluster
17,participation_probit,log_population,0.073,0.052,-0.029,0.174,1799,cluster
18,ppml_area_exposure,const,-9.728,2.683,-14.987,-4.469,1792,cluster
19,ppml_area_exposure,log_gdp_pc,-0.243,0.26,-0.753,0.266,1792,cluster
20,ppml_area_exposure,rd,0.495,0.142,0.218,0.773,1792,cluster
21,ppml_area_exposure,tertiary,-1.075,0.472,-2.0,-0.149,1792,cluster
22,ppml_area_exposure,internet,1.911,0.886,0.175,3.648,1792,cluster
23,ppml_area_exposure,need,0.209,0.646,-1.058,1.476,1792,cluster
24,ppml_area_exposure,yield_volatility,-1.29,1.031,-3.311,0.731,1792,cluster
25,ppml_area_exposure,log_population,-0.143,0.061,-0.262,-0.024,1792,cluster
26,ppml_no_exposure,const,-10.367,2.503,-15.272,-5.462,1799,cluster
27,ppml_no_exposure,log_area,0.83,0.047,0.739,0.922,1799,cluster
28,ppml_no_exposure,log_gdp_pc,-0.139,0.25,-0.629,0.352,1799,cluster
29,ppml_no_exposure,rd,0.407,0.123,0.166,0.648,1799,cluster
30,ppml_no_exposure,tertiary,-0.893,0.477,-1.828,0.041,1799,cluster
31,ppml_no_exposure,internet,1.554,0.884,-0.179,3.287,1799,cluster
32,ppml_no_exposure,need,-0.037,0.585,-1.183,1.109,1799,cluster
33,ppml_no_exposure,yield_volatility,-1.656,1.137,-3.886,0.573,1799,cluster
34,ppml_no_exposure,log_population,-0.002,0.062,-0.123,0.12,1799,cluster
35,negbin_area_exposure,const,-10.059,,,,1792,nonrobust
36,negbin_area_exposure,log_gdp_pc,-0.234,,,,1792,nonrobust
37,negbin_area_exposure,rd,0.496,,,,1792,nonrobust
38,negbin_area_exposure,tertiary,-1.154,,,,1792,nonrobust
39,negbin_area_exposure,internet,1.908,,,,1792,nonrobust
40,negbin_area_exposure,need,0.163,,,,1792,nonrobust
41,negbin_area_exposure,yield_volatility,-1.324,,,,1792,nonrobust
42,negbin_area_exposure,log_population,-0.127,,,,1792,nonrobust
43,negbin_area_exposure,alpha,inf,,,,1792,nonrobust
44,leadership_fractional_logit,const,-9.586,4.731,-18.858,-0.314,313,cluster
45,leadership_fractional_logit,log_area,-0.096,0.069,-0.231,0.038,313,cluster
46,leadership_fractional_logit,log_gdp_pc,0.597,0.487,-0.358,1.551,313,cluster
47,leadership_fractional_logit,rd,-0.186,0.239,-0.654,0.283,313,cluster
48,leadership_fractional_logit,tertiary,-0.53,0.841,-2.179,1.118,313,cluster
49,leadership_fractional_logit,internet,2.399,1.646,-0.827,5.625,313,cluster
50,leadership_fractional_logit,need,1.33,1.565,-1.738,4.398,313,cluster
51,leadership_fractional_logit,yield_volatility,1.124,1.967,-2.731,4.979,313,cluster
52,leadership_fractional_logit,log_population,0.218,0.152,-0.08,0.517,313,cluster
53,citation_ppml,const,-1.249,1.079,-3.364,0.867,1433,cluster
54,citation_ppml,age,0.076,0.012,0.052,0.101,1433,cluster
55,citation_ppml,is_oa_f,-0.041,0.332,-0.691,0.61,1433,cluster
56,citation_ppml,is_conf_f,-0.631,0.453,-1.519,0.258,1433,cluster
57,citation_ppml,intl,0.346,0.105,0.14,0.552,1433,cluster
58,citation_ppml,n_auth,0.019,0.012,-0.005,0.044,1433,cluster
59,citation_ppml,log_gdp_pc,0.385,0.096,0.197,0.573,1433,cluster
