iso3,log_studies_value,log_studies_lisa_I,log_studies_lisa_p,log_studies_lisa_cat_raw,log_studies_lisa_cat_fdr,log_studies_value_missing,log_studies_getis_z,log_studies_getis_p,log_studies_getis_sig_fdr,research_intensity_per_mha_value,research_intensity_per_mha_lisa_I,research_intensity_per_mha_lisa_p,research_intensity_per_mha_lisa_cat_raw,research_intensity_per_mha_lisa_cat_fdr,research_intensity_per_mha_value_missing,research_intensity_per_mha_getis_z,research_intensity_per_mha_getis_p,research_intensity_per_mha_getis_sig_fdr,citation_weighted_value,citation_weighted_lisa_I,citation_weighted_lisa_p,citation_weighted_lisa_cat_raw,citation_weighted_lisa_cat_fdr,citation_weighted_value_missing,citation_weighted_getis_z,citation_weighted_getis_p,citation_weighted_getis_sig_fdr,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_raw,evidence_gap_lisa_cat_fdr,evidence_gap_value_missing,evidence_gap_getis_z,evidence_gap_getis_p,evidence_gap_getis_sig_fdr,cell_coverage_pct_value,cell_coverage_pct_lisa_I,cell_coverage_pct_lisa_p,cell_coverage_pct_lisa_cat_raw,cell_coverage_pct_lisa_cat_fdr,cell_coverage_pct_value_missing,cell_coverage_pct_getis_z,cell_coverage_pct_getis_p,cell_coverage_pct_getis_sig_fdr,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,evidence_gap
AFG,0.0,-0.3852848446387148,0.1509,Not significant,Not significant,False,0.24785362369215047,0.1509,False,0.0,0.044231139464133186,0.4651,Not significant,Not significant,False,-0.158414834156292,0.4651,False,0.0,-0.012014604808984993,0.1719,Not significant,Not significant,False,0.020452944755088062,0.1719,False,-77.91683273548558,0.5250254146027463,0.2507,Not significant,Not significant,False,-0.5141552018830127,0.2507,False,0.0,-0.2686527691767665,0.1955,Not significant,Not significant,False,0.1802271163625041,0.1955,False,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.9689119170984456,-77.91683273548558
AGO,0.0,0.3488312289574639,0.1607,Not significant,Not significant,False,-0.4656821868490543,0.1602,False,0.0,0.06529915410573862,0.3146,Not significant,Not significant,False,-0.20986383294638555,0.3146,False,0.0,0.03229677711496696,0.3661,Not significant,Not significant,False,-0.1640185850705226,0.3661,False,-74.28988973030424,1.947223827731491,0.0066,Low-Low,Low-Low,False,-1.1324657072967463,0.0066,True,0.0,0.3587741801135213,0.1169,Not significant,Not significant,False,-0.5041962336730528,0.1169,False,Sub-Saharan Africa ,Lower middle income,0.0,0.9326424870466321,-74.28988973030424
ALB,0.6931471805599453,-0.031015855569283577,0.398,Not significant,Not significant,False,0.022385660119480975,0.398,False,6.260407928180601,0.2128790912841732,0.05,Not significant,Not significant,False,0.5285428379441309,0.05,False,1.0,0.03690705113902081,0.1981,Not significant,Not significant,False,-0.18371454474805818,0.1981,False,-4.3828882688986255,-0.08904622241859698,0.0377,Low-High,Not significant,False,0.5992692064249734,0.0377,False,7.6923076923076925,-0.08179604416042513,0.2801,Not significant,Not significant,False,0.12021902051139648,0.2801,False,Europe & Central Asia,Upper middle income,1.0,0.5233160621761658,-4.3828882688986255
ARE,0.0,0.19051137143881264,0.3206,Not significant,Not significant,False,-0.3118006796563927,0.3205,False,0.0,-0.00020661728468076773,0.3197,Not significant,Not significant,False,-0.04989591900947876,0.3197,False,0.0,0.02045093325214292,0.3778,Not significant,Not significant,False,-0.11470346907615371,0.3778,False,7.05726052876312,0.0012137172934844841,0.4913,Not significant,Not significant,False,0.03130578160928662,0.4913,False,0.0,-0.1342545399026384,0.3156,Not significant,Not significant,False,0.0336199513009865,0.3157,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.11917098445595854,7.05726052876312
ARG,2.7880929087757464,0.5535067153366712,0.1341,Not significant,Not significant,False,0.5640748399194148,0.1341,False,0.4188920593447814,0.03637818116466413,0.4785,Not significant,Not significant,False,-0.14667302392458698,0.4785,False,652.75,0.03924165670000764,0.1255,Not significant,Not significant,False,0.14831445831630427,0.1255,False,48.31938355254418,0.5451964218116631,0.1443,Not significant,Not significant,False,0.5515004260588082,0.1443,False,19.047619047619047,0.09321537497529189,0.1105,Not significant,Not significant,False,0.4708747549946978,0.1105,False,Latin America & Caribbean ,Upper middle income,15.25,0.38860103626943004,48.31938355254418
ARM,0.4054651081081644,-0.028147343244489417,0.4305,Not significant,Not significant,False,-0.04086822871054355,0.4305,False,3.618379631706848,0.018727482490168996,0.1312,Not significant,Not significant,False,0.22545557987422785,0.1312,False,0.5,0.03609128077594159,0.2286,Not significant,Not significant,False,-0.1800594148195979,0.2284,False,-20.899428723262922,0.1335426559379171,0.2726,Not significant,Not significant,False,-0.2852633383013176,0.2726,False,10.0,0.00047081781531604065,0.4582,Not significant,Not significant,False,-0.041508419573970244,0.4582,False,Europe & Central Asia,Upper middle income,0.5,0.6269430051813472,-20.899428723262922
ATG,0.0,0.7816947949946764,0.0023,Low-Low,Low-Low,False,-0.8864108243969333,0.0001,True,0.0,0.12383193799472729,0.0001,Low-Low,Low-Low,False,-0.35280341119873404,0.0001,True,0.0,0.04260996645140386,0.0001,Low-Low,Low-Low,False,-0.20695314796767572,0.0001,True,12.756742394048093,0.026119279074132334,0.4321,Not significant,Not significant,False,0.1154215726373475,0.4321,False,0.0,0.6206060486443279,0.0023,Low-Low,Low-Low,False,-0.7898133000241716,0.0001,True,Latin America & Caribbean ,High income,0.0,0.06217616580310881,12.756742394048093
AUS,3.7645168683195562,-0.6782540838771611,0.2054,Not significant,Not significant,False,-0.016344177889544828,0.2054,False,1.8084952722837682,0.025586733507488836,0.3193,Not significant,Not significant,False,-0.17853871254461123,0.3193,False,1819.7857142857142,-0.2384843377709253,0.188,Not significant,Not significant,False,0.030893185101641595,0.188,False,67.38939816660024,-0.7348930242627411,0.1534,Not significant,Not significant,False,-0.10396970604321176,0.1534,False,42.857142857142854,-0.5244871988950859,0.186,Not significant,Not significant,False,-0.12530077228724731,0.186,False,East Asia & Pacific,High income,42.14285714285714,0.29533678756476683,67.38939816660024
AUT,1.2308802572458604,0.021651112909674447,0.131,Not significant,Not significant,False,0.40973675389256903,0.131,False,2.5540063804187394,-0.004242475267107739,0.2407,Not significant,Not significant,False,0.06478789931629464,0.2407,False,11.848484848484848,-0.024652711918249175,0.1222,Not significant,Not significant,False,0.0796309935978197,0.1222,False,52.71422877640494,1.5315155885975429,0.0022,High-High,High-High,False,1.1507144548523598,0.0022,True,42.857142857142854,0.6753793508689079,0.12,Not significant,Not significant,False,0.6166795495884234,0.12,False,Europe & Central Asia,High income,2.4242424242424243,0.10362694300518134,52.71422877640494
AZE,1.0986122886681098,0.010066166076223257,0.3395,Not significant,Not significant,False,-0.1684554486200834,0.3395,False,1.6627884896459826,0.024507511759117355,0.3904,Not significant,Not significant,False,-0.15753158278169635,0.3904,False,14.0,0.03519627444022107,0.1878,Not significant,Not significant,False,-0.18319006003084864,0.1878,False,0.948585093662814,-0.009395306091137817,0.0789,Not significant,Not significant,False,-0.4860447067478673,0.0789,False,6.666666666666667,0.038782602017666916,0.462,Not significant,Not significant,False,-0.13853311275336877,0.462,False,Europe & Central Asia,Upper middle income,2.0,0.5751295336787565,0.948585093662814
BDI,0.0,-0.4895613566304548,0.0973,Not significant,Not significant,False,0.34920684041161504,0.0973,False,0.0,0.03629631371677119,0.4854,Not significant,Not significant,False,-0.13903764806541877,0.4854,False,0.0,0.007193232867659441,0.2416,Not significant,Not significant,False,-0.05951069092961436,0.2416,False,-81.02564102564102,1.4641948014710842,0.0414,Low-Low,Not significant,False,-0.8938876613264062,0.0414,False,0.0,-0.17934802138663675,0.2668,Not significant,Not significant,False,0.08280979196204688,0.2668,False,Sub-Saharan Africa ,Low income,0.0,1.0,-81.02564102564102
BEL,1.890850371872286,0.37722692220251064,0.0529,Not significant,Not significant,False,0.6729080157862136,0.0529,False,11.967932324268201,1.1593865158754746,0.0326,High-High,Not significant,False,1.0918006768659,0.0326,False,89.79166666666666,-0.016750778606701044,0.1208,Not significant,Not significant,False,0.09048299349171068,0.1208,False,63.75581240866214,2.6648682301432367,0.0001,High-High,High-High,False,1.608959667660367,0.0001,True,45.45454545454545,2.201016792901013,0.0017,High-High,High-High,False,1.460970572595316,0.0017,True,Europe & Central Asia,High income,5.625,0.08808290155440414,63.75581240866214
BEN,1.1786549963416462,0.0024671734148267966,0.1812,Not significant,Not significant,False,0.3182274186124895,0.1812,False,0.6520211699972198,0.07747709011716651,0.0738,Not significant,Not significant,False,-0.2815095712687637,0.0738,False,62.25,0.013361335642685723,0.3342,Not significant,Not significant,False,-0.09641652561995888,0.3342,False,-22.148266241530493,0.27603659656015933,0.1213,Not significant,Not significant,False,-0.4853023167978312,0.1213,False,12.5,-0.06822671136972097,0.141,Not significant,Not significant,False,0.362100139744895,0.1409,False,Sub-Saharan Africa ,Lower middle income,2.25,0.844559585492228,-22.148266241530493
BFA,2.163323025660538,-0.1259990006515214,0.367,Not significant,Not significant,False,-0.03665350348966099,0.3669,False,1.1096316023080337,0.06707639650996972,0.0414,Low-Low,Not significant,False,-0.29247841472523284,0.0414,False,164.2,0.010025652056906826,0.4398,Not significant,Not significant,False,-0.13360262759588204,0.4398,False,3.882024711040259,-0.06738462444026269,0.0391,High-Low,Not significant,False,-0.6034978194511915,0.0391,False,42.857142857142854,-0.27523609266422455,0.3571,Not significant,Not significant,False,0.028832548677003,0.3571,False,Sub-Saharan Africa ,Low income,7.699999999999999,0.7150259067357513,3.882024711040259
BGD,3.51650822817315,2.0213977517991837,0.0049,High-High,High-High,False,1.2334312798018217,0.0049,True,2.3844150660501957,0.011883993097352252,0.3654,Not significant,Not significant,False,-0.1547339288559191,0.3654,False,332.66666666666663,0.10562302516599557,0.0341,High-High,Not significant,False,1.295977757298403,0.0341,False,12.499003587086477,-0.012106881162064284,0.4555,Not significant,Not significant,False,0.013568681181400522,0.4555,False,33.333333333333336,0.772803190599982,0.0327,High-High,Not significant,False,0.8629141440203547,0.0327,False,South Asia,Lower middle income,32.66666666666667,0.8134715025906736,12.499003587086477
BGR,1.4388652481292288,-0.0015945789604702595,0.4809,Not significant,Not significant,False,0.022385660119480975,0.4809,False,1.0997001012905396,-0.13189408197985542,0.046,Low-High,Not significant,False,0.47834423923586356,0.046,False,27.30681818181818,0.03377267257523548,0.1696,Not significant,Not significant,False,-0.18431085812162973,0.1696,False,24.69775474956821,0.3515016393983736,0.0885,Not significant,Not significant,False,0.5620995474400649,0.0885,False,26.31578947368421,0.0037597777196139784,0.4452,Not significant,Not significant,False,0.08454817743073534,0.4452,False,Europe & Central Asia,High income,3.2159090909090913,0.41968911917098445,24.69775474956821
BHR,0.0,0.19051137143881264,0.3088,Not significant,Not significant,False,-0.3118006796563927,0.3086,False,0.0,-0.00020661728468076285,0.3199,Not significant,Not significant,False,-0.04989591900947876,0.3199,False,0.0,0.020450933252142915,0.3743,Not significant,Not significant,False,-0.11470346907615371,0.3744,False,6.539125813737213,0.0014934869829567935,0.4996,Not significant,Not significant,False,0.03130578160928662,0.4996,False,0.0,-0.1342545399026384,0.3084,Not significant,Not significant,False,0.0336199513009865,0.3084,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.12435233160621761,6.539125813737213
