iso3,n_studies_fractional,intensity_class,intensity_label,share_of_world_pct
USA,327.7261904761905,5,n > 100,16.198808317534066
IND,292.59285714285716,5,n > 100,14.462242401347265
CHN,252.3095238095238,5,n > 100,12.471122942417704
BRA,93.28333333333333,4,20 < n <= 100,4.610796694922934
IRN,49.5,4,20 < n <= 100,2.4466796826730595
PAK,49.266666666666666,4,20 < n <= 100,2.435146512451705
AUS,45.14285714285714,4,20 < n <= 100,2.2313153816008273
NGA,39.8,4,20 < n <= 100,1.967229320613894
ETH,39.45,4,20 < n <= 100,1.949929565281863
CAN,38.05952380952381,4,20 < n <= 100,1.8812012855954237
DEU,36.708333333333336,4,20 < n <= 100,1.8144148151809474
IDN,34.875,4,20 < n <= 100,1.7237970491560193
BGD,32.66666666666667,4,20 < n <= 100,1.6146438309896287
UKR,31.016666666666666,4,20 < n <= 100,1.5330878415671931
ESP,23.0,4,20 < n <= 100,1.1368410646763711
VNM,22.333333333333332,4,20 < n <= 100,1.1038891497582153
KEN,21.916666666666664,4,20 < n <= 100,1.083294202934368
THA,21.5,4,20 < n <= 100,1.0626992561105209
MEX,20.2,4,20 < n <= 100,0.9984430220201173
NPL,19.166666666666664,3,5 < n <= 20,0.9473675538969758
MAR,19.0,3,5 < n <= 20,0.939129575167437
KAZ,18.5,3,5 < n <= 20,0.9144156389788202
GBR,16.833333333333332,3,5 < n <= 20,0.832035851683431
HUN,16.09090909090909,3,5 < n <= 20,0.7953394009791213
ITA,15.875,3,5 < n <= 20,0.7846674739885822
ARG,15.25,3,5 < n <= 20,0.7537750537528113
KOR,15.0,3,5 < n <= 20,0.7414180856585029
FRA,14.517857142857142,3,5 < n <= 20,0.7175867900480509
MYS,14.5,3,5 < n <= 20,0.7167041494698861
LKA,14.5,3,5 < n <= 20,0.7167041494698861
SEN,14.0,3,5 < n <= 20,0.6919902132812693
POL,14.0,3,5 < n <= 20,0.6919902132812693
TUR,14.0,3,5 < n <= 20,0.6919902132812693
CZE,13.757575757575758,3,5 < n <= 20,0.6800076987655764
EGY,12.75,3,5 < n <= 20,0.6302053728097274
TZA,12.7,3,5 < n <= 20,0.6277339791908658
PER,12.25,3,5 < n <= 20,0.6054914366211107
RUS,12.059523809523808,3,5 < n <= 20,0.5960766037873518
PHL,12.0,3,5 < n <= 20,0.5931344685268023
ZAF,11.583333333333332,3,5 < n <= 20,0.572539521702955
COL,10.75,3,5 < n <= 20,0.5313496280552604
JPN,10.0,3,5 < n <= 20,0.4942787237723352
SWE,10.0,3,5 < n <= 20,0.4942787237723352
GHA,9.583333333333332,3,5 < n <= 20,0.4736837769484879
RWA,9.25,3,5 < n <= 20,0.4572078194894101
SRB,8.59090909090909,3,5 < n <= 20,0.42463035814986977
NLD,8.291666666666666,3,5 < n <= 20,0.4098394417945613
TWN,8.0,3,5 < n <= 20,0.3954229790178682
BFA,7.699999999999999,3,5 < n <= 20,0.38059461730469807
GRC,7.0,3,5 < n <= 20,0.34599510664063465
DNK,6.833333333333333,3,5 < n <= 20,0.33775712791109574
UZB,6.0,3,5 < n <= 20,0.29656723426340115
DZA,6.0,3,5 < n <= 20,0.29656723426340115
BEL,5.625,3,5 < n <= 20,0.2780317821219386
FIN,5.625,3,5 < n <= 20,0.2780317821219386
UGA,5.5,3,5 < n <= 20,0.27185329807478437
MWI,5.116666666666667,3,5 < n <= 20,0.25290594699684493
TUN,5.0,2,1 < n <= 5,0.2471393618861676
IRQ,5.0,2,1 < n <= 5,0.2471393618861676
URY,4.416666666666667,2,1 < n <= 5,0.2183064363327814
ZWE,4.0,2,1 < n <= 5,0.1977114895089341
ECU,4.0,2,1 < n <= 5,0.1977114895089341
BLR,4.0,2,1 < n <= 5,0.1977114895089341
ZMB,3.3333333333333335,2,1 < n <= 5,0.16475957459077845
MOZ,3.25,2,1 < n <= 5,0.16064058522600896
BGR,3.2159090909090913,2,1 < n <= 5,0.15895554412223964
HRV,3.090909090909091,2,1 < n <= 5,0.15277706007508543
CRI,3.0,2,1 < n <= 5,0.14828361713170057
SLE,3.0,2,1 < n <= 5,0.14828361713170057
SAU,3.0,2,1 < n <= 5,0.14828361713170057
CYP,3.0,2,1 < n <= 5,0.14828361713170057
NER,2.5,2,1 < n <= 5,0.1235696809430838
AUT,2.4242424242424243,2,1 < n <= 5,0.11982514515692977
BEN,2.25,2,1 < n <= 5,0.11121271284877543
LBN,2.25,2,1 < n <= 5,0.11121271284877543
MMR,2.1666666666666665,2,1 < n <= 5,0.10709372348400596
MLI,2.0,2,1 < n <= 5,0.09885574475446705
AZE,2.0,2,1 < n <= 5,0.09885574475446705
KHM,2.0,2,1 < n <= 5,0.09885574475446705
MKD,2.0,2,1 < n <= 5,0.09885574475446705
SWZ,2.0,2,1 < n <= 5,0.09885574475446705
CMR,2.0,2,1 < n <= 5,0.09885574475446705
CHL,2.0,2,1 < n <= 5,0.09885574475446705
PRK,2.0,2,1 < n <= 5,0.09885574475446705
SSD,2.0,2,1 < n <= 5,0.09885574475446705
NOR,2.0,2,1 < n <= 5,0.09885574475446705
PRT,2.0,2,1 < n <= 5,0.09885574475446705
MNG,1.6666666666666665,2,1 < n <= 5,0.08237978729538921
CHE,1.5,2,1 < n <= 5,0.07414180856585029
MDG,1.3333333333333333,2,1 < n <= 5,0.06590382983631136
HND,1.25,2,1 < n <= 5,0.0617848404715419
BIH,1.0909090909090908,2,1 < n <= 5,0.05392131532061838
ROU,1.0909090909090908,2,1 < n <= 5,0.05392131532061838
LUX,1.0,1,0 < n <= 1,0.04942787237723353
LTU,1.0,1,0 < n <= 1,0.04942787237723353
NZL,1.0,1,0 < n <= 1,0.04942787237723353
MRT,1.0,1,0 < n <= 1,0.04942787237723353
LVA,1.0,1,0 < n <= 1,0.04942787237723353
MDA,1.0,1,0 < n <= 1,0.04942787237723353
PAN,1.0,1,0 < n <= 1,0.04942787237723353
LAO,1.0,1,0 < n <= 1,0.04942787237723353
CUB,1.0,1,0 < n <= 1,0.04942787237723353
IRL,1.0,1,0 < n <= 1,0.04942787237723353
ALB,1.0,1,0 < n <= 1,0.04942787237723353
