crop_standard_name,n_studies_fractional,n_studies_full,world_production_t,n_cells,n_cells_with_study,attention_share_pct,world_production_share_pct
wheat,565.5845238095238,783.0,771649232.718,125,67,27.997154855308953,10.565186355634912
maize,450.25119047619046,678.0,1153829208.164,173,76,22.28800784477343,15.797878219730348
rice,389.3,474.0,772612317.86,142,47,19.270846224290274,10.578372624175259
soybean,132.21666666666667,212.0,353641756.446,119,21,6.544893531008423,4.8419552583828915
sugarcane,79.35,96.0,1913185626.4603333,110,18,3.92792614409821,26.194755103012543
cotton,57.56666666666667,81.0,75111061.972,100,17,2.8496233778019784,1.0283977919716676
barley,53.892857142857146,113.0,151487525.622,106,35,2.6677651235233593,2.0741210784503568
potato,50.20952380952381,81.0,371709671.116,160,34,2.4854354285337132,5.089335645030695
rapeseed_canola,35.49285714285714,73.0,76747013.466,67,20,1.7569416698194262,1.0507967417406048
coffee_cocoa,25.783333333333335,32.0,16458285.206,87,11,1.276307864927522,0.2253418300995389
sorghum,23.4,42.0,58934102.958,127,14,1.158329826993045,0.8069077944395399
millet,22.45,37.0,30667033.686,88,14,1.1113036160681138,0.41988368824767636
sunflower,21.566666666666666,37.0,53818281.468666665,87,16,1.0675774901203705,0.7368635241866064
groundnut,21.066666666666666,33.0,53288909.674666665,120,10,1.0428268527914593,0.7296155267573512
oat_rye,15.00952380952381,34.0,51248893.968,82,17,0.7429905605783634,0.7016842528112367
pulses,13.642857142857142,27.0,19602745.232666668,107,16,0.6753388185460061,0.2683948194125199
beans,13.25,18.0,38462768.21666667,142,11,0.6558918892161473,0.5266205119278358
banana_plantain,12.333333333333334,15.0,168644880.09,155,10,0.6105157207798101,2.309034352044385
sugarbeet,8.233333333333333,21.0,266729224.918,69,12,0.40756049468273803,3.651975338362821
chickpea,7.75,12.0,15976727.671333333,60,6,0.3836348785981239,0.21874849095139676
oilpalm,7.5,8.0,393427554.178,44,3,0.37125955993366827,5.386690287620964
yam,5.5,6.0,82689494.60599999,64,1,0.2722570106180234,1.1321593842430822
cassava,5.3,8.0,316191786.126,102,5,0.2623567556864589,4.329201666896599
sweet_potato,2.1666666666666665,4.0,91107572.92,121,2,0.10725276175861527,1.247417149523906
lentil,1.3333333333333333,2.0,6475645.336,59,2,0.06600169954376324,0.0886625643452702
