iso3,research_share,production_share,n_studies_fractional,n_production_cells,fao_area_name,wb_region,wb_income_group,research_share_pct,production_share_pct,labelled_in_figure,plot_group,clipped_to_left_edge
USA,0.16148612255337003,0.08817140495834742,326.2261904761905,22,United States of America,North America,High income,16.148612255337003,8.817140495834742,True,log-log scatter,False
IND,0.14483719384345575,0.12355381403594014,292.59285714285716,22,India,South Asia,Lower middle income,14.483719384345575,12.355381403594015,True,log-log scatter,False
CHN,0.12489643036879627,0.13347166890306972,252.3095238095238,24,"China, mainland",East Asia & Pacific,Upper middle income,12.489643036879627,13.347166890306973,True,log-log scatter,False
BRA,0.04617643904330536,0.14062129485244101,93.28333333333333,21,Brazil,Latin America & Caribbean ,Upper middle income,4.617643904330536,14.062129485244101,True,log-log scatter,False
IRN,0.024503130955622107,0.005339669922900234,49.5,19,Iran (Islamic Republic of),"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.4503130955622106,0.5339669922900234,True,log-log scatter,False
PAK,0.024387627981420523,0.01860712417892274,49.266666666666666,20,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2.4387627981420525,1.860712417892274,False,log-log scatter,False
AUS,0.020861251462939455,0.011832390218910312,42.14285714285714,21,Australia,East Asia & Pacific,High income,2.0861251462939454,1.1832390218910311,False,log-log scatter,False
ETH,0.01952825285251095,0.005199429917720401,39.45,22,Ethiopia,Sub-Saharan Africa ,Low income,1.952825285251095,0.5199429917720401,False,log-log scatter,False
NGA,0.019206494567235104,0.024514642936768173,38.8,17,Nigeria,Sub-Saharan Africa ,Lower middle income,1.9206494567235104,2.451464293676817,False,log-log scatter,False
CAN,0.018839949414411708,0.013402063107254197,38.05952380952381,13,Canada,North America,High income,1.8839949414411707,1.3402063107254198,False,log-log scatter,False
DEU,0.01817109290564232,0.011780077436047646,36.708333333333336,12,Germany,Europe & Central Asia,High income,1.817109290564232,1.1780077436047647,False,log-log scatter,False
IDN,0.017263569536915574,0.049451798861789,34.875,13,Indonesia,East Asia & Pacific,Upper middle income,1.7263569536915573,4.9451798861789,False,log-log scatter,False
BGD,0.016170416388221996,0.010440748262711585,32.66666666666667,18,Bangladesh,South Asia,Lower middle income,1.6170416388221995,1.0440748262711586,False,log-log scatter,False
UKR,0.015353645356367924,0.016767792890772886,31.016666666666666,15,Ukraine,Europe & Central Asia,Upper middle income,1.5353645356367924,1.6767792890772886,False,log-log scatter,False
ESP,0.01138529317129916,0.004092561409660283,23.0,14,Spain,Europe & Central Asia,High income,1.138529317129916,0.4092561409660283,False,log-log scatter,False
VNM,0.011055284673580345,0.010685266201740902,22.333333333333332,13,Viet Nam,East Asia & Pacific,Upper middle income,1.1055284673580346,1.0685266201740902,False,log-log scatter,False
KEN,0.010849029362506084,0.0024028750484702413,21.916666666666664,22,Kenya,Sub-Saharan Africa ,Lower middle income,1.0849029362506084,0.24028750484702413,False,log-log scatter,False
THA,0.010642774051431825,0.025626176311471426,21.5,16,Thailand,East Asia & Pacific,Upper middle income,1.0642774051431825,2.5626176311471425,False,log-log scatter,False
MEX,0.009999257480880132,0.013837902783858564,20.2,24,Mexico,Latin America & Caribbean ,Upper middle income,0.9999257480880132,1.3837902783858564,False,log-log scatter,False
NPL,0.009487744309415968,0.0024569395178334996,19.166666666666664,15,Nepal,South Asia,Lower middle income,0.9487744309415967,0.24569395178334996,False,log-log scatter,False
MAR,0.009405242184986264,0.001740262549908106,19.0,21,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.9405242184986263,0.1740262549908106,True,log-log scatter,False
GBR,0.00932274006055656,0.00501721565038746,18.833333333333332,7,United Kingdom of Great Britain and Northern Ireland,Europe & Central Asia,High income,0.9322740060556559,0.501721565038746,False,log-log scatter,False
KAZ,0.00915773581169715,0.003237611034206975,18.5,18,Kazakhstan,Europe & Central Asia,Upper middle income,0.9157735811697151,0.32376110342069747,False,log-log scatter,False
HUN,0.007965205104031429,0.0023943555207196964,16.09090909090909,13,Hungary,Europe & Central Asia,High income,0.7965205104031429,0.23943555207196965,False,log-log scatter,False
ITA,0.00785832735192931,0.0028146815371825795,15.875,13,Italy,Europe & Central Asia,High income,0.7858327351929311,0.28146815371825795,False,log-log scatter,False
ARG,0.007548944385317921,0.0213790018278417,15.25,21,Argentina,Latin America & Caribbean ,Upper middle income,0.7548944385317921,2.13790018278417,False,log-log scatter,False
KOR,0.007425191198673365,0.0008562606403206223,15.0,16,Republic of Korea,East Asia & Pacific,High income,0.7425191198673365,0.08562606403206223,False,log-log scatter,False
FRA,0.007186524338716008,0.015312873069440104,14.517857142857142,13,France,Europe & Central Asia,High income,0.7186524338716008,1.5312873069440105,False,log-log scatter,False
MYS,0.007177684825384253,0.013554444185936107,14.5,11,Malaysia,East Asia & Pacific,Upper middle income,0.7177684825384253,1.3554444185936108,False,log-log scatter,False
LKA,0.007177684825384252,0.000929430127852743,14.5,14,Sri Lanka,South Asia,Upper middle income,0.7177684825384253,0.0929430127852743,False,log-log scatter,False
