panel,iso3,crop_standard_name,n_studies_fractional,area_ha_mean,research_share_pct,area_share_pct
country-crop system,AFG,barley,0.0,71308.2,0.0,0.005877178313415836
country-crop system,AFG,beans,0.0,19054.333333333332,0.0,0.0015704465214836883
country-crop system,AFG,cotton,0.0,51477.0,0.0,0.004242702915509114
country-crop system,AFG,maize,0.0,117184.2,0.0,0.00965825022809416
country-crop system,AFG,millet,0.0,1260.0,0.0,0.00010384843082428042
country-crop system,AFG,potato,0.0,50969.2,0.0,0.004200850349499138
country-crop system,AFG,pulses,0.0,28776.666666666668,0.0,0.002371755299751357
country-crop system,AFG,rice,0.0,132369.2,0.0,0.010909788658305827
country-crop system,AFG,soybean,0.0,1828.0,0.0,0.0001506626440847497
country-crop system,AFG,sugarbeet,0.0,370.4,0.0,3.052814188675672e-05
country-crop system,AFG,sugarcane,0.0,1649.4,0.0,0.00013594254111235567
country-crop system,AFG,sunflower,0.0,655.6,0.0,5.403415178444305e-05
country-crop system,AFG,wheat,0.0,2108580.6,0.0,0.17378792585438071
country-crop system,AGO,banana_plantain,0.0,166314.8,0.0,0.01370756428797939
country-crop system,AGO,beans,0.0,700445.6,0.0,0.05773029876013619
country-crop system,AGO,cassava,0.0,982098.0,0.0,0.08094391763147948
country-crop system,AGO,coffee_cocoa,0.0,34864.8,0.0,0.0028735355325415655
country-crop system,AGO,cotton,0.0,3518.8,0.0,0.00029001734792418886
country-crop system,AGO,groundnut,0.0,344486.2,0.0,0.02839234231001526
country-crop system,AGO,maize,0.0,2697016.4,0.0,0.22228644527567445
country-crop system,AGO,millet,0.0,206212.4,0.0,0.01699590012421337
country-crop system,AGO,oilpalm,0.0,23188.4,0.0,0.0019111737724807492
country-crop system,AGO,potato,0.0,66056.2,0.0,0.005444311679535582
country-crop system,AGO,rice,0.0,8513.4,0.0,0.0007016692309360547
country-crop system,AGO,sorghum,0.0,149958.4,0.0,0.012359479784856964
country-crop system,AGO,soybean,0.0,36268.0,0.0,0.0029891864199484146
country-crop system,AGO,sugarcane,0.0,21796.4,0.0,0.0017964459822367824
country-crop system,AGO,sunflower,0.0,17118.8,0.0,0.0014109210457100728
country-crop system,AGO,sweet_potato,0.0,183708.8,0.0,0.01514116714969172
country-crop system,AGO,wheat,0.0,10226.8,0.0,0.0008428866129791674
country-crop system,ALB,barley,0.0,4115.6,0.0,0.00033920523960349886
country-crop system,ALB,beans,0.0,13325.0,0.0,0.001098238365661537
country-crop system,ALB,cotton,0.0,724.2,0.0,5.968812190709832e-05
country-crop system,ALB,maize,0.0,56179.0,0.0,0.004630238885140674
country-crop system,ALB,oat_rye,0.0,16839.4,0.0,0.0013878930682717364
country-crop system,ALB,potato,0.0,9975.8,0.0,0.0008221993462038543
country-crop system,ALB,pulses,0.0,175.0,0.0,1.4423393170038948e-05
country-crop system,ALB,soybean,0.0,207.4,0.0,1.709378139123473e-05
country-crop system,ALB,sugarbeet,0.0,752.0,0.0,6.197938093639594e-05
country-crop system,ALB,sunflower,0.0,414.8,0.0,3.418756278246946e-05
country-crop system,ALB,wheat,1.0,57025.8,0.04942787237723352,0.004700031624205754
country-crop system,ARE,banana_plantain,0.0,7.2,0.0,5.934196047101739e-07
country-crop system,ARE,maize,0.0,1022.8,0.0,8.429855162466192e-05
country-crop system,ARE,potato,0.0,74.0,0.0,6.099034826187898e-06
country-crop system,ARG,banana_plantain,0.0,8419.8,0.0,0.0006939547760748223
country-crop system,ARG,barley,0.0,1150481.0,0.0,0.09482194170091188
country-crop system,ARG,beans,0.0,476610.4,0.0,0.03928193821788303
country-crop system,ARG,cassava,0.0,19800.2,0.0,0.0016319203968308868
country-crop system,ARG,chickpea,0.0,99637.0,0.0,0.008212020715903831
country-crop system,ARG,cotton,0.0,390422.4,0.0,0.03217837587194408
country-crop system,ARG,groundnut,0.0,401297.6,0.0,0.03307470321710298
country-crop system,ARG,lentil,0.0,30964.8,0.0,0.0025520999133235543
country-crop system,ARG,maize,2.4166666666666665,7803384.8,0.11945069157831434,0.643150211585747
country-crop system,ARG,millet,0.0,3913.0,0.0,0.0003225070712820709
country-crop system,ARG,oat_rye,0.0,355009.6,0.0,0.029259674513932906
country-crop system,ARG,potato,0.0,76174.0,0.0,0.006278214579054553
country-crop system,ARG,pulses,0.0,79887.8,0.0,0.006584303707939642
country-crop system,ARG,rapeseed_canola,0.6388888888888888,19425.4,0.031578918463232526,0.0016010296096301405
country-crop system,ARG,rice,0.0,190563.6,0.0,0.01570613558113162
country-crop system,ARG,sorghum,0.0,524748.6,0.0,0.04324945927558571
country-crop system,ARG,soybean,10.055555555555555,16389144.0,0.4970247166821815,1.3507832436136273
country-crop system,ARG,sugarcane,0.0,428628.4,0.0,0.03532729106882698
country-crop system,ARG,sunflower,0.0,1704445.6,0.0,0.1404793658613882
country-crop system,ARG,sweet_potato,0.0,10182.4,0.0,0.0008392271920834547
country-crop system,ARG,wheat,2.138888888888889,6242419.6,0.1057207270290828,0.5144964127037558
country-crop system,ARM,barley,0.0,48322.8,0.0,0.003982735677012332
country-crop system,ARM,beans,0.0,1163.2,0.0,9.587023391651031e-05
country-crop system,ARM,chickpea,0.0,79.8,0.0,6.57706728553776e-06
country-crop system,ARM,lentil,0.0,140.4,0.0,1.157168229184839e-05
country-crop system,ARM,maize,0.5,1186.0,0.02471393618861676,9.774939599809253e-05
country-crop system,ARM,oat_rye,0.0,3802.2,0.0,0.00031337500292069766
country-crop system,ARM,potato,0.0,20379.6,0.0,0.001679674191132147
country-crop system,ARM,pulses,0.0,66.6,0.0,5.4891313435691074e-06
country-crop system,ARM,sugarbeet,0.0,3638.8,0.0,0.00029990767466935844
country-crop system,ARM,wheat,0.0,59404.0,0.0,0.004896041416417107
country-crop system,ATG,banana_plantain,0.0,6.4,0.0,5.274840930757101e-07
country-crop system,ATG,cassava,0.0,21.6,0.0,1.7802588141305217e-06
country-crop system,ATG,cotton,0.0,606.8,0.0,5.0012085574740756e-05
country-crop system,ATG,maize,0.0,24.6,0.0,2.0275169827597607e-06
country-crop system,ATG,sweet_potato,0.0,34.8,0.0,2.868194756099173e-06
country-crop system,ATG,yam,0.0,43.8,0.0,3.6099692619868907e-06
country-crop system,AUS,banana_plantain,0.0,12669.0,0.0,0.0010441712461212768
country-crop system,AUS,barley,1.0,4774144.4,0.04942787237723352,0.3934820670385126
country-crop system,AUS,beans,0.0,99018.8,0.0,0.0081610690492883
country-crop system,AUS,chickpea,1.0,412463.2,0.04942787237723352,0.03399496515298519
