iso3,fao_area_name,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,research_pct,evidence_gap,need_pct_0_100,research_minus_need_pctpts,high_need_low_research_quadrant
BDI,Burundi,Sub-Saharan Africa ,Low income,0.0,1.0,18.974358974358974,-81.02564102564102,100.0,-81.02564102564102,True
CAF,Central African Republic,Sub-Saharan Africa ,Low income,0.0,0.9896373056994818,18.974358974358974,-79.9893715955892,98.96373056994818,-79.9893715955892,True
TCD,Chad,Sub-Saharan Africa ,Low income,0.0,0.9844559585492227,18.974358974358974,-79.4712368805633,98.44559585492227,-79.4712368805633,True
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.9689119170984456,18.974358974358974,-77.91683273548558,96.89119170984456,-77.91683273548558,True
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,0.0,0.9481865284974094,18.974358974358974,-75.84429387538196,94.81865284974094,-75.84429387538196,True
SDN,Sudan,Sub-Saharan Africa ,Low income,0.0,0.9430051813471503,18.974358974358974,-75.32615916035606,94.30051813471503,-75.32615916035606,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0.0,0.9326424870466321,18.974358974358974,-74.28988973030424,93.26424870466322,-74.28988973030424,True
HTI,Haiti,Latin America & Caribbean ,Lower middle income,0.0,0.917098445595855,18.974358974358974,-72.73548558522651,91.70984455958549,-72.73548558522651,True
YEM,Yemen,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.8963730569948186,18.974358974358974,-70.66294672512288,89.63730569948186,-70.66294672512288,True
LBR,Liberia,Sub-Saharan Africa ,Low income,0.0,0.8704663212435233,18.974358974358974,-68.07227314999335,87.04663212435233,-68.07227314999335,True
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0.0,0.8497409326424871,18.974358974358974,-65.99973428988973,84.97409326424871,-65.99973428988973,True
GMB,Gambia,Sub-Saharan Africa ,Low income,0.0,0.8031088082901554,18.974358974358974,-61.33652185465657,80.31088082901555,-61.33652185465657,True
ERI,Eritrea,Sub-Saharan Africa ,Low income,0.0,0.7979274611398963,18.974358974358974,-60.81838713963066,79.79274611398964,-60.81838713963066,True
TGO,Togo,Sub-Saharan Africa ,Lower middle income,0.0,0.7927461139896373,18.974358974358974,-60.30025242460475,79.27461139896373,-60.30025242460475,True
COG,Congo,Sub-Saharan Africa ,Lower middle income,0.0,0.7772020725388601,18.974358974358974,-58.745848279527024,77.720207253886,-58.745848279527024,True
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0.0,0.772020725388601,18.974358974358974,-58.227713564501116,77.2020725388601,-58.227713564501116,True
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.25,0.9533678756476683,39.743589743589745,-55.59319782117709,95.33678756476684,-55.59319782117709,True
BTN,Bhutan,South Asia,Lower middle income,0.0,0.7357512953367875,18.974358974358974,-54.60077055931977,73.57512953367875,-54.60077055931977,True
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0.0,0.7305699481865285,18.974358974358974,-54.082635844293875,73.05699481865285,-54.082635844293875,True
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0.0,0.7253886010362695,18.974358974358974,-53.56450112926797,72.53886010362694,-53.56450112926797,True
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0.0,0.7098445595854922,18.974358974358974,-52.01009698419024,70.98445595854922,-52.01009698419024,True
COM,Comoros,Sub-Saharan Africa ,Lower middle income,0.0,0.6994818652849741,18.974358974358974,-50.97382755413844,69.94818652849742,-50.97382755413844,True
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,0.0,0.6839378238341969,18.974358974358974,-49.41942340906071,68.39378238341969,-49.41942340906071,True
SOM,Somalia,Sub-Saharan Africa ,Low income,0.25,0.8860103626943006,39.743589743589745,-48.85744652584031,88.60103626943005,-48.85744652584031,True
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0.0,0.6528497409326425,18.974358974358974,-46.310615118905275,65.28497409326425,-46.310615118905275,True
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.6424870466321243,18.974358974358974,-45.27434568885346,64.24870466321244,-45.27434568885346,True
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0.0,0.616580310880829,18.974358974358974,-42.68367211372393,61.6580310880829,-42.68367211372393,True
MDG,Madagascar,Sub-Saharan Africa ,Low income,1.3333333333333333,0.9637305699481865,54.35897435897436,-42.0140826358443,96.37305699481865,-42.0140826358443,False
FJI,Fiji,East Asia & Pacific,Upper middle income,0.0,0.6062176165803109,18.974358974358974,-41.64740268367211,60.62176165803109,-41.64740268367211,True
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,0.0,0.5958549222797928,18.974358974358974,-40.611133253620295,59.58549222797927,-40.611133253620295,True
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,0.0,0.5803108808290155,18.974358974358974,-39.05672910854257,58.03108808290155,-39.05672910854257,True
MDA,Republic of Moldova,Europe & Central Asia,Upper middle income,1.0,0.8652849740932642,47.94871794871795,-38.57977946060847,86.52849740932642,-38.57977946060847,True
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0.0,0.5647668393782384,18.974358974358974,-37.50232496346486,56.476683937823836,-37.50232496346486,True
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,0.0,0.5440414507772021,18.974358974358974,-35.42978610336124,54.40414507772021,-35.42978610336124,True
PRK,Democratic People's Republic of Korea,East Asia & Pacific,Low income,2.0,0.9378238341968912,58.46153846153847,-35.32084495815066,93.78238341968913,-35.32084495815066,False
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,1.0,0.8290155440414507,47.94871794871795,-34.952836455427125,82.90155440414507,-34.952836455427125,True
LAO,Lao People's Democratic Republic,East Asia & Pacific,Lower middle income,1.0,0.8238341968911918,47.94871794871795,-34.43470174040123,82.38341968911918,-34.43470174040123,True
SSD,South Sudan,Sub-Saharan Africa ,Low income,2.0,0.927461139896373,58.46153846153847,-34.28457552809884,92.74611398963731,-34.28457552809884,False
CIV,Côte d'Ivoire,Sub-Saharan Africa ,Lower middle income,1.0,0.8186528497409327,47.94871794871795,-33.91656702537532,81.86528497409327,-33.91656702537532,True
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,0.0,0.5077720207253886,18.974358974358974,-31.80284309817989,50.77720207253886,-31.80284309817989,True
MOZ,Mozambique,Sub-Saharan Africa ,Low income,3.25,0.9792746113989638,67.17948717948717,-30.74797396040921,97.92746113989638,-30.74797396040921,False
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.0,0.49222797927461137,18.974358974358974,-30.248438953102163,49.22279792746114,-30.248438953102163,False
