iso3,evidence_gap_value,evidence_gap_lisa_I,evidence_gap_lisa_p,evidence_gap_lisa_cat_fdr,evidence_gap_lisa_cat_raw,evidence_gap_value_missing,wb_region,wb_income_group,n_studies_fractional,need_rank_pct,display_class
AFG,-77.91683273548558,0.5250254146027463,0.2507,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.0,0.9689119170984456,Not significant
ALB,-4.3828882688986255,-0.0890462224185969,0.0377,Not significant,Low-High,False,Europe & Central Asia,Upper middle income,1.0,0.5233160621761658,Not significant
DZA,25.403215092334264,-0.1394246387148544,0.2996,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6.0,0.4818652849740932,Not significant
AGO,-74.28988973030424,1.947223827731491,0.0066,Low-Low,Low-Low,False,Sub-Saharan Africa ,Lower middle income,0.0,0.932642487046632,Low-Low
ATG,12.756742394048093,0.0261192790741323,0.4321,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.0621761658031088,Not significant
ARG,48.31938355254418,0.5451964218116631,0.1443,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,15.25,0.38860103626943,Not significant
ARM,-20.89942872326292,0.1335426559379171,0.2726,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,0.5,0.6269430051813472,Not significant
AUS,67.38939816660024,-0.7348930242627411,0.1534,Not significant,Not significant,False,East Asia & Pacific,High income,42.14285714285714,0.2953367875647668,Not significant
AUT,52.71422877640494,1.5315155885975429,0.0022,High-High,High-High,False,Europe & Central Asia,High income,2.4242424242424243,0.1036269430051813,High-High
AZE,0.948585093662814,-0.0093953060911378,0.0789,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,2.0,0.5751295336787565,Not significant
BHS,13.793011824099906,-0.160138129186968,0.1312,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.0518134715025906,Not significant
BHR,6.539125813737213,0.0014934869829567,0.4996,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,0.1243523316062176,Not significant
BGD,12.499003587086476,-0.0121068811620642,0.4555,Not significant,Not significant,False,South Asia,Lower middle income,32.66666666666667,0.8134715025906736,Not significant
BRB,6.020991098711308,-0.0129974507773658,0.4094,Not significant,Not significant,False,Latin America & Caribbean ,High income,0.0,0.1295336787564766,Not significant
BLR,21.049554935565297,0.180236562399522,0.2158,Not significant,Not significant,False,Europe & Central Asia,Upper middle income,4.0,0.4766839378238341,Not significant
BEL,63.75581240866214,2.6648682301432367,0.0001,High-High,High-High,False,Europe & Central Asia,High income,5.625,0.0880829015544041,High-High
BLZ,-20.403879367609935,0.3858126868464266,0.0402,Not significant,Low-Low,False,Latin America & Caribbean ,Upper middle income,0.0,0.3937823834196891,Not significant
BEN,-22.148266241530493,0.2760365965601593,0.1213,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,2.25,0.844559585492228,Not significant
BTN,-54.60077055931977,-0.372237199520564,0.2777,Not significant,Not significant,False,South Asia,Lower middle income,0.0,0.7357512953367875,Not significant
BOL,-27.180815730038525,-0.5528917738287714,0.0258,Not significant,Low-High,False,Latin America & Caribbean ,Lower middle income,1.0,0.7512953367875648,Not significant
BIH,5.926664009565563,0.1102153510433523,0.0302,Not significant,High-High,False,Europe & Central Asia,Upper middle income,1.0909090909090908,0.4715025906735751,Not significant
BWA,-21.93569815331474,0.2430123126440145,0.1488,Not significant,Not significant,False,Sub-Saharan Africa ,Upper middle income,0.5,0.6373056994818653,Not significant
BRA,65.30091669988043,-0.3678479426195739,0.2969,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,93.28333333333332,0.3316062176165803,Not significant
BRN,14.82928125415172,0.2596055422437414,0.0446,Not significant,High-High,False,East Asia & Pacific,High income,0.0,0.0414507772020725,Not significant
BGR,24.69775474956821,0.3515016393983736,0.0885,Not significant,Not significant,False,Europe & Central Asia,High income,3.2159090909090913,0.4196891191709844,Not significant
BFA,3.882024711040259,-0.0673846244402626,0.0391,Not significant,High-Low,False,Sub-Saharan Africa ,Low income,7.699999999999999,0.7150259067357513,Not significant
BDI,-81.02564102564102,1.4641948014710842,0.0414,Not significant,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,1.0,Not significant
CPV,-37.50232496346486,0.6783245342646197,0.0451,Not significant,Low-Low,False,Sub-Saharan Africa ,Upper middle income,0.0,0.5647668393782384,Not significant
KHM,-7.859705061777603,-0.0639875366608061,0.245,Not significant,Not significant,False,East Asia & Pacific,Lower middle income,2.0,0.6632124352331606,Not significant
CMR,-19.776803507373444,0.5639182526532954,0.0042,Low-Low,Low-Low,False,Sub-Saharan Africa ,Lower middle income,2.0,0.7823834196891192,Low-Low
CAN,66.88720605819051,0.4029269533779065,0.2903,Not significant,Not significant,False,North America,High income,38.05952380952381,0.2849740932642487,Not significant
CAF,-79.9893715955892,2.3547718050098942,0.0026,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.9896373056994818,Low-Low
TCD,-79.4712368805633,2.103222577397791,0.0056,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.9844559585492229,Low-Low
CHL,38.254284575528104,0.4750904237887959,0.1213,Not significant,Not significant,False,Latin America & Caribbean ,High income,2.0,0.2020725388601036,Not significant
HKG,12.238607679022188,0.068104425602218,0.3101,Not significant,Not significant,False,East Asia & Pacific,High income,0.0,0.0673575129533678,Not significant
TWN,41.70054470572605,0.8323200551876834,0.0249,Not significant,High-High,False,,,8.0,0.3419689119170984,Not significant
CHN,44.05207918161287,-0.2737011508423999,0.2796,Not significant,Not significant,False,East Asia & Pacific,Upper middle income,252.3095238095238,0.5492227979274611,Not significant
COL,16.274744254018863,0.0043573427416319,0.4995,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,10.75,0.6321243523316062,Not significant
COM,-50.97382755413844,0.6524667668979457,0.1125,Not significant,Not significant,False,Sub-Saharan Africa ,Lower middle income,0.0,0.6994818652849741,Not significant
COG,-58.745848279527024,1.934693271026951,0.0011,Low-Low,Low-Low,False,Sub-Saharan Africa ,Lower middle income,0.0,0.7772020725388601,Low-Low
COK,18.45622425933307,-0.093588502306437,0.3114,Not significant,Not significant,False,,,0.0,0.005181347150259,Not significant
CRI,15.13086222930783,-0.2522748751716585,0.0566,Not significant,Not significant,False,Latin America & Caribbean ,High income,3.0,0.4974093264248704,Not significant
HRV,43.355918692706254,0.9442271255074668,0.0174,Not significant,High-High,False,Europe & Central Asia,High income,3.090909090909091,0.2279792746113989,Not significant
CUB,-5.937292413976351,0.0852621449451767,0.1011,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,1.0,0.538860103626943,Not significant
CYP,34.819981400292285,-0.2850097902096006,0.2219,Not significant,Not significant,False,Europe & Central Asia,High income,3.0,0.3005181347150259,Not significant
CZE,55.615783180550025,1.6330600334498766,0.002,High-High,High-High,False,Europe & Central Asia,High income,13.757575757575758,0.2746113989637305,High-High
CIV,-33.91656702537532,0.6712127573163164,0.0331,Not significant,Low-Low,False,Sub-Saharan Africa ,Lower middle income,1.0,0.8186528497409327,Not significant
PRK,-35.32084495815066,-1.0020766070537968,0.0036,Low-High,Low-High,False,East Asia & Pacific,Low income,2.0,0.9378238341968912,Low-High
COD,-75.84429387538196,2.068308691493527,0.005,Low-Low,Low-Low,False,Sub-Saharan Africa ,Low income,0.0,0.9481865284974094,Low-Low
DNK,66.06881891855986,2.7371090478751117,0.0001,High-High,High-High,False,Europe & Central Asia,High income,6.833333333333333,0.082901554404145,High-High
DJI,-5.896107346884548,0.2041982276012085,0.0011,Low-Low,Low-Low,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.0,0.2487046632124352,Low-Low
DMA,-11.59558921216952,-0.0350433660911275,0.4016,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.3056994818652849,Not significant
DOM,-12.63185864222134,0.1143336360631338,0.2022,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.3160621761658031,Not significant
ECU,-12.111066826092738,0.0006829736408263,0.4856,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,4.0,0.8082901554404145,Not significant
EGY,17.79726318586421,-0.0554416304900864,0.377,Not significant,Not significant,False,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.75,0.6476683937823834,Not significant
SLV,-35.42978610336124,0.3996539115262393,0.1469,Not significant,Not significant,False,Latin America & Caribbean ,Upper middle income,0.0,0.5440414507772021,Not significant
GNQ,-18.331340507506308,0.5264842991219721,0.004,Low-Low,Low-Low,False,Sub-Saharan Africa ,Upper middle income,0.0,0.3730569948186528,Low-Low
ERI,-60.81838713963066,1.011787998862187,0.0562,Not significant,Not significant,False,Sub-Saharan Africa ,Low income,0.0,0.7979274611398963,Not significant
EST,21.523847482396707,0.5398490953457398,0.0075,High-High,High-High,False,Europe & Central Asia,High income,1.0,0.2642487046632124,High-High
