iso3,need_pct,research_pct,gap,lisa_cat_gap9
AFG,97.87234042553192,19.48717948717949,-78.38516093835243,Not significant
ALB,60.63829787234043,47.94871794871795,-12.689579923622482,Not significant
DZA,40.42553191489361,73.58974358974359,33.16421167484998,Not significant
AGO,88.82978723404256,19.48717948717949,-69.34260774686307,Not significant
ATG,18.08510638297873,19.48717948717949,1.4020731042007633,Not significant
ARG,12.234042553191486,87.17948717948718,74.9454446262957,Not significant
ARM,72.3404255319149,42.30769230769231,-30.032733224222596,Not significant
AUS,7.4468085106382915,96.92307692307692,89.47626841243863,Not significant
AUT,7.97872340425532,63.07692307692307,55.098199672667754,Not significant
AZE,57.97872340425532,58.46153846153847,0.4828150572831475,Not significant
BHS,11.170212765957446,19.48717948717949,8.316966721222043,Not significant
BHR,42.5531914893617,19.48717948717949,-23.066012002182212,Not significant
BGD,65.42553191489363,93.84615384615384,28.420621931260214,Not significant
BRB,24.46808510638298,19.48717948717949,-4.98090561920349,Not significant
BLR,35.638297872340424,68.71794871794872,33.07965084560829,Not significant
BEL,6.38297872340425,72.56410256410255,66.1811238406983,High-High
BLZ,45.21276595744681,19.48717948717949,-25.725586470267324,Not significant
BEN,77.6595744680851,62.30769230769231,-15.35188216039279,Not significant
BTN,89.8936170212766,19.48717948717949,-70.40643753409711,Not significant
BOL,66.48936170212765,47.94871794871795,-18.540643753409704,Not significant
BIH,51.59574468085106,53.07692307692308,1.4811783960720175,Not significant
BWA,73.40425531914893,42.30769230769231,-31.096563011456624,Not significant
BRA,10.63829787234043,98.46153846153848,87.82324058919804,Not significant
BRN,9.042553191489365,19.48717948717949,10.444626295690126,High-High
BGR,32.4468085106383,66.66666666666666,34.21985815602836,Not significant
BFA,65.95744680851064,75.38461538461539,9.427168576104748,Not significant
BDI,100.0,19.48717948717949,-80.51282051282051,Not significant
CPV,71.80851063829788,19.48717948717949,-52.321331151118386,Not significant
KHM,53.191489361702125,58.46153846153847,5.270049099836342,Not significant
CMR,69.68085106382979,58.46153846153847,-11.219312602291325,Not significant
CAN,6.914893617021278,95.3846153846154,88.46972176759411,Not significant
CAF,99.46808510638296,19.48717948717949,-79.98090561920348,Not significant
TCD,98.40425531914892,19.48717948717949,-78.91707583196944,Not significant
CHL,16.48936170212766,58.46153846153847,41.97217675941081,Not significant
HKG,19.680851063829788,19.48717948717949,-0.1936715766502992,Not significant
TWN,34.04255319148936,75.8974358974359,41.85488270594654,Not significant
CHN,27.65957446808511,98.97435897435898,71.31478450627387,Not significant
COL,47.87234042553192,79.48717948717949,31.614839061647572,Not significant
COM,82.4468085106383,19.48717948717949,-62.95962902345882,Not significant
COG,84.04255319148936,19.48717948717949,-64.55537370430987,Low-Low
CRI,50.0,64.87179487179488,14.871794871794876,Not significant
HRV,15.95744680851064,66.15384615384615,50.19639934533551,Not significant
CUB,48.40425531914894,47.94871794871795,-0.4555373704309886,Not significant
CYP,43.61702127659575,64.87179487179488,21.25477359519913,Not significant
CZE,13.297872340425528,83.07692307692308,69.77905073649755,High-High
CIV,70.2127659574468,47.94871794871795,-22.264048008728857,Not significant
PRK,94.14893617021278,58.46153846153847,-35.68739770867431,Low-High
COD,88.29787234042553,19.48717948717949,-68.81069285324604,Low-Low
DNK,3.723404255319153,74.35897435897436,70.63557010365521,High-High
DJI,36.17021276595745,19.48717948717949,-16.683033278777962,Low-Low
DMA,46.808510638297875,19.48717948717949,-27.321331151118383,Not significant
DOM,22.872340425531913,19.48717948717949,-3.385160938352424,Not significant
ECU,76.06382978723404,68.71794871794872,-7.345881069285326,Not significant
EGY,50.53191489361703,82.56410256410255,32.03218767048553,Not significant
SLV,54.78723404255319,19.48717948717949,-35.3000545553737,Not significant
GNQ,52.659574468085104,19.48717948717949,-33.172394980905615,Not significant
ERI,93.08510638297872,19.48717948717949,-73.59792689579923,Not significant
EST,25.53191489361702,47.94871794871795,22.416803055100928,High-High
SWZ,62.76595744680851,58.46153846153847,-4.30441898527004,Not significant
ETH,79.25531914893617,95.8974358974359,16.64211674849973,High-Low
FJI,69.14893617021278,19.48717948717949,-49.66175668303329,Not significant
FIN,14.893617021276595,72.56410256410255,57.67048554282596,Not significant
FRA,5.851063829787236,86.15384615384616,80.30278232405892,High-High
PYF,1.5957446808510625,19.48717948717949,17.891434806328427,Not significant
GAB,64.8936170212766,19.48717948717949,-45.40643753409711,Low-Low
GMB,86.70212765957447,19.48717948717949,-67.21494817239498,Not significant
GEO,70.74468085106383,19.48717948717949,-51.257501363884344,Not significant
DEU,2.659574468085111,94.87179487179486,92.21222040370976,High-High
GHA,54.25531914893617,77.94871794871796,23.69339879978179,Not significant
