model,term,status,estimate,std_error,ci_low,ci_high,off_scale
participation_logit,log_area,on scale,0.706,0.054,0.6,0.813,False
participation_logit,log_gdp_pc,on scale,0.182,0.326,-0.458,0.821,False
participation_logit,rd,on scale,0.283,0.135,0.018,0.547,False
participation_logit,tertiary,on scale,0.221,0.512,-0.782,1.223,False
participation_logit,internet,on scale,1.163,1.016,-0.828,3.153,False
participation_logit,need,on scale,-0.016,1.092,-2.157,2.125,False
participation_logit,yield_volatility,on scale,0.465,0.976,-1.449,2.379,False
participation_logit,log_population,on scale,0.099,0.097,-0.092,0.29,False
ppml_area_exposure,log_area,not estimated (offset),,,,,False
ppml_area_exposure,log_gdp_pc,on scale,-0.243,0.26,-0.753,0.266,False
ppml_area_exposure,rd,on scale,0.495,0.142,0.218,0.773,False
ppml_area_exposure,tertiary,on scale,-1.075,0.472,-2.0,-0.149,False
ppml_area_exposure,internet,on scale,1.911,0.886,0.175,3.648,False
ppml_area_exposure,need,on scale,0.209,0.646,-1.058,1.476,False
ppml_area_exposure,yield_volatility,on scale,-1.29,1.031,-3.311,0.731,False
ppml_area_exposure,log_population,on scale,-0.143,0.061,-0.262,-0.024,False
