term,Covariate,logit_estimate,logit_std_error,logit_ci_low,logit_ci_high,ppml_estimate,ppml_std_error,ppml_ci_low,ppml_ci_high,Participation (logit),"Intensity (PPML, area exposure)"
const,constant,-13.834,3.322,-20.345,-7.324,-9.728,2.683,-14.987,-4.469,"-13.834 (3.322) [-20.345, -7.324]","-9.728 (2.683) [-14.987, -4.469]"
log_area,log harvested area (ha),0.706,0.054,0.6,0.813,,,,,"0.706 (0.054) [0.600, 0.813]",offset
log_gdp_pc,"log GDP per capita, PPP",0.182,0.326,-0.458,0.821,-0.243,0.26,-0.753,0.266,"0.182 (0.326) [-0.458, 0.821]","-0.243 (0.260) [-0.753, 0.266]"
rd,"R&D expenditure, % of GDP",0.283,0.135,0.018,0.547,0.495,0.142,0.218,0.773,"0.283 (0.135) [0.018, 0.547]","0.495 (0.142) [0.218, 0.773]"
tertiary,tertiary enrolment (share),0.221,0.512,-0.782,1.223,-1.075,0.472,-2.0,-0.149,"0.221 (0.512) [-0.782, 1.223]","-1.075 (0.472) [-2.000, -0.149]"
internet,internet users (share),1.163,1.016,-0.828,3.153,1.911,0.886,0.175,3.648,"1.163 (1.016) [-0.828, 3.153]","1.911 (0.886) [0.175, 3.648]"
need,need index (0-1 percentile rank),-0.016,1.092,-2.157,2.125,0.209,0.646,-1.058,1.476,"-0.016 (1.092) [-2.157, 2.125]","0.209 (0.646) [-1.058, 1.476]"
yield_volatility,"yield volatility, CV",0.465,0.976,-1.449,2.379,-1.29,1.031,-3.311,0.731,"0.465 (0.976) [-1.449, 2.379]","-1.290 (1.031) [-3.311, 0.731]"
log_population,log population,0.099,0.097,-0.092,0.29,-0.143,0.061,-0.262,-0.024,"0.099 (0.097) [-0.092, 0.290]","-0.143 (0.061) [-0.262, -0.024]"
,Observations (country-crop cells),,,,,,,,,"1,799","1,792"
,Standard errors,,,,,,,,,cluster-robust by country,cluster-robust by country
,Log-likelihood,,,,,,,,,-641.1,"-1,763.8"
,AIC,,,,,,,,,"1,300.1","3,543.5"
,McFadden pseudo R2,,,,,,,,,0.3644,NA
,Share of cells with a measured zero,,,,,,,,,0.752,0.751
,Pearson dispersion,,,,,,,,,NA,367.7
