iso3,gap11,lisa_cat_gap11
AFG,-77.91683273548558,Not significant
ALB,-4.3828882688986255,Not significant
DZA,25.403215092334264,Not significant
AGO,-74.28988973030424,Not significant
ATG,12.756742394048093,Not significant
ARG,48.31938355254418,Not significant
ARM,-20.899428723262922,Not significant
AUS,67.38939816660024,Not significant
AUT,52.71422877640494,Not significant
AZE,0.948585093662814,Not significant
BHS,13.793011824099906,Not significant
BHR,6.539125813737213,Not significant
BGD,12.499003587086477,Not significant
BRB,6.020991098711308,Not significant
BLR,21.049554935565297,Not significant
BEL,63.75581240866214,High-High
BLZ,-20.403879367609935,Not significant
BEN,-22.148266241530493,Not significant
BTN,-54.60077055931977,Not significant
BOL,-27.180815730038525,Not significant
BIH,5.926664009565563,Not significant
BWA,-21.93569815331474,Not significant
BRA,65.30091669988043,Not significant
BRN,14.82928125415172,Not significant
BGR,24.69775474956821,Not significant
BFA,3.882024711040259,Not significant
BDI,-81.02564102564102,Not significant
CPV,-37.50232496346486,Not significant
KHM,-7.859705061777603,Not significant
CMR,-19.776803507373444,Not significant
CAN,66.88720605819051,Not significant
CAF,-79.9893715955892,Not significant
TCD,-79.4712368805633,Low-Low
CHL,38.254284575528104,Not significant
HKG,12.238607679022188,Not significant
TWN,41.70054470572605,Not significant
CHN,44.05207918161287,Not significant
COL,16.274744254018863,Not significant
COM,-50.97382755413844,Not significant
COG,-58.745848279527024,Low-Low
COK,18.45622425933307,Not significant
CRI,15.13086222930783,Not significant
HRV,43.355918692706254,High-High
CUB,-5.937292413976351,Not significant
CYP,34.819981400292285,Not significant
CZE,55.615783180550025,High-High
CIV,-33.91656702537532,Not significant
PRK,-35.32084495815066,Low-High
COD,-75.84429387538196,Low-Low
DNK,66.06881891855986,High-High
DJI,-5.896107346884548,Low-Low
DMA,-11.595589212169521,Not significant
DOM,-12.631858642221339,Not significant
ECU,-12.111066826092738,Not significant
EGY,17.79726318586421,Not significant
SLV,-35.42978610336124,Not significant
GNQ,-18.331340507506308,Low-Low
ERI,-60.81838713963066,Not significant
EST,21.523847482396707,High-High
SWZ,-0.6058190514148976,Not significant
ETH,8.327354855852263,High-Low
FJI,-41.64740268367211,Not significant
FIN,50.80244453301447,Not significant
FRA,61.80151454762854,High-High
PYF,17.419954829281256,Not significant
GAB,-40.611133253620295,Low-Low
GMB,-61.33652185465657,Not significant
GEO,-20.381294008237013,Not significant
DEU,78.80961870599175,High-High
GHA,10.078384482529572,Not significant
GRC,42.22930782516275,Not significant
GRD,-1.751029626677294,Not significant
GTM,-27.698950445064433,Not significant
GIN,-27.635180018599712,Not significant
GNB,-34.952836455427125,Not significant
GUY,11.202338248970374,Not significant
HTI,-72.73548558522651,Not significant
HND,-18.17457154244719,Not significant
HUN,45.71808157300385,Not significant
ISL,9.129799388866747,High-High
IND,25.393915238474833,Not significant
IDN,43.06363757140958,Not significant
IRN,21.78291483990965,Not significant
IRQ,-4.098578450910054,Not significant
IRL,42.249236083432976,High-High
