iso3,gap9,lisa_cat_gap9
AFG,-78.9531021655374,Not significant
ALB,-13.191178424339043,Not significant
DZA,32.138966387671054,Not significant
AGO,-70.14481201009697,Not significant
ATG,-0.7147601966254804,Not significant
ARG,73.7079845888136,Not significant
ARM,-30.74398830875515,Not significant
AUS,88.1147867676365,Not significant
AUT,53.750498206456754,Not significant
AZE,-0.08768433638898898,Not significant
BHS,6.539125813737213,Not significant
BHR,-24.54895708781719,Not significant
BGD,28.561179752889586,Not significant
BRB,-6.9323767769363585,Not significant
BLR,31.93038395110934,Not significant
BEL,64.79208183871395,High-High
BLZ,-27.139630662946725,Not significant
BEN,-15.930649661219604,Not significant
BTN,-71.18108144014879,Not significant
BOL,-18.89066028962403,Not significant
BIH,0.7453168593065058,Not significant
BWA,-31.780257738806952,Not significant
BRA,86.54444001594261,Not significant
BRN,8.61166467384084,Not significant
BGR,32.98791018998272,Not significant
BFA,9.063371861299316,Not significant
BDI,-81.02564102564102,Not significant
CPV,-53.04636641424206,Not significant
KHM,4.575528098844167,Not significant
CMR,-11.48664806695895,Not significant
CAN,87.09445994420088,Not significant
CAF,-80.50750631061511,Not significant
TCD,-79.4712368805633,Not significant
CHL,40.84495815065764,Not significant
HKG,-2.2691643417032026,Not significant
TWN,40.66427527567424,Not significant
CHN,69.44068021788229,Not significant
COL,30.782516274744253,Not significant
COM,-63.927195429786096,Not significant
COG,-65.48159957486382,Low-Low
COK,18.45622425933307,Not significant
CRI,14.094592799256013,Not significant
HRV,49.05540055799122,Not significant
CUB,-1.2740799787431882,Not significant
CYP,20.3122093795669,Not significant
CZE,68.5691510561977,High-High
CIV,-22.51760329480536,Not significant
PRK,-35.83897967317657,Low-High
COD,-69.62667729507108,Low-Low
DNK,69.6957619237412,High-High
DJI,-18.331340507506308,Low-Low
DMA,-28.694034808024444,Not significant
DOM,-5.377972631858643,Not significant
ECU,-7.96598910588547,Not significant
EGY,31.268765776537784,Not significant
SLV,-36.46605553341304,Not significant
GNQ,-34.39351667330942,Not significant
ERI,-74.28988973030424,Not significant
EST,21.0057127673708,High-High
SWZ,-4.750896771622159,Not significant
ETH,16.617510296266772,High-Low
FJI,-50.45569283911253,Not significant
FIN,56.501926398299446,Not significant
FRA,79.41809485850938,High-High
PYF,16.383685399229442,Not significant
GAB,-46.828749833931184,Low-Low
GMB,-68.07227314999335,Not significant
GEO,-29.189584163677424,Not significant
DEU,90.72671715158761,High-High
GHA,22.513617643151335,Not significant
GRC,47.41065497542182,Not significant
GRD,-26.10336123289491,Not significant
GTM,-20.96319914972765,Not significant
GIN,-20.381294008237013,Not significant
GNB,-39.61604889066029,Not significant
GUY,7.575395243789027,Not significant
HTI,-75.84429387538196,Not significant
HND,-19.210840972499007,Not significant
HUN,57.1170453035738,Not significant
ISL,-4.34170320180683,Low-High
IND,43.01049554935565,Not significant
IDN,60.162083167264505,Not significant
IRN,34.21814800053141,Not significant
IRQ,-4.616713165935963,Not significant
IRL,41.73110136840707,High-High
ISR,24.11452105752624,Not significant
ITA,77.84774810681546,Not significant
JAM,-48.901288694034804,Not significant
JPN,75.60914042779328,Not significant
JOR,-56.673309419423404,Not significant
KAZ,66.95629068686063,Not significant
KEN,-4.06005048492095,Not significant
KIR,-21.440148797661752,Low-Low
KWT,-36.98419024843895,Not significant
KGZ,-9.046100704131796,Not significant
LAO,-30.80775873521987,Not significant
LVA,19.969443337318985,Not significant
LBN,0.6496612196094063,Not significant
LSO,-64.445330144812,Not significant
LBR,-71.6992161551747,Not significant
LBY,-39.05672910854257,Not significant
LTU,29.295868207785308,Not significant
LUX,42.767370798458884,High-High
MDG,-40.97781320579248,Not significant
MWI,-14.210176697223332,Not significant
MYS,56.36907134316461,Not significant
MDV,-15.74066693237678,Not significant
MLI,-22.367477082502987,Not significant
MLT,-16.77693636242859,Not significant
MRT,-28.217085160090342,Not significant
MUS,-13.149993357247244,Not significant
MEX,65.89876444798725,Not significant
FSM,-55.63703998937159,Not significant
MNG,7.19808688720606,Not significant
MNE,15.663611000398571,Not significant
MAR,18.240999070014624,Not significant
MOZ,-26.602896240201957,Not significant
MMR,-3.2283778397768046,Not significant
NAM,-39.55227846419557,Not significant
NPL,40.51547761392322,Not significant
NLD,60.86621495947921,High-High
NCL,-17.295071077454498,Not significant
NZL,27.741464062707585,Not significant
NIC,-55.11890527434568,Not significant
NER,-18.275541384349687,Not significant
NGA,13.514016208316718,Not significant
MKD,19.601434834595466,Not significant
NOR,37.736149860502195,High-High
OMN,-41.129267968646204,Not significant
PAK,30.078384482529557,Not significant
PSE,-43.71994154377575,Not significant
PAN,8.57047960674904,Not significant
PNG,-61.33652185465657,Not significant
PRY,-19.367609937558118,Not significant
PER,29.724990035870867,Not significant
PHL,42.68898631592932,Not significant
POL,71.14919622691643,Not significant
PRT,26.855320844958154,High-High
PRI,13.274877109074001,Not significant
QAT,-40.611133253620295,Not significant
KOR,72.6770293609672,Not significant
MDA,-38.57977946060847,Not significant
ROU,10.071741729772825,Not significant
RUS,65.99973428988973,Not significant
RWA,-14.279261325893444,Not significant
KNA,0.8396439484522382,Not significant
LCA,-22.99455294273947,Not significant
VCT,-13.668128072273152,Not significant
WSM,-11.077454497143616,Not significant
STP,-58.227713564501116,Not significant
SAU,31.71117311013684,Not significant
SEN,19.853859439351666,Not significant
SRB,54.64328417696295,Not significant
SYC,15.347415969177629,Not significant
SLE,-27.874319117842433,Not significant
SGP,17.93808954430716,Not significant
SVK,19.29055400557992,High-High
SVN,12.036667995217226,High-High
SLB,-65.99973428988973,Not significant
SOM,-56.62946725122891,Not significant
ZAF,35.95854922279793,Not significant
SSD,-38.429653248306096,Not significant
ESP,62.250564633984325,High-High
