model,term,estimate,se,ci_low,ci_high,n
baseline_logit,log_area,0.706,0.054,0.6,0.813,1799
baseline_logit,log_gdp_pc,0.182,0.326,-0.458,0.822,1799
baseline_logit,rd,0.283,0.135,0.018,0.547,1799
baseline_logit,tertiary,0.221,0.512,-0.782,1.223,1799
baseline_logit,internet,1.163,1.016,-0.828,3.153,1799
baseline_logit,need,-0.016,1.092,-2.157,2.125,1799
baseline_logit,yield_volatility,0.465,0.976,-1.449,2.379,1799
baseline_logit,log_population,0.099,0.097,-0.092,0.29,1799
logit_crop_FE,log_area,0.654,0.06,0.536,0.772,1799
logit_crop_FE,log_gdp_pc,0.228,0.348,-0.454,0.91,1799
logit_crop_FE,rd,0.282,0.152,-0.015,0.579,1799
logit_crop_FE,tertiary,0.147,0.535,-0.902,1.196,1799
logit_crop_FE,internet,0.959,1.075,-1.149,3.067,1799
logit_crop_FE,need,0.07,1.196,-2.275,2.415,1799
logit_crop_FE,yield_volatility,0.783,0.986,-1.149,2.715,1799
logit_crop_FE,log_population,0.304,0.111,0.086,0.522,1799
ppml_crop_FE,rd,0.484,0.118,0.253,0.716,1792
ppml_crop_FE,need,-0.118,0.679,-1.45,1.214,1792
ppml_crop_FE,internet,0.813,0.81,-0.775,2.4,1792
ppml_crop_FE,tertiary,-1.02,0.482,-1.965,-0.075,1792
ppml_crop_FE,log_population,-0.119,0.076,-0.267,0.029,1792
ppml_crop_FE,log_gdp_pc,-0.156,0.228,-0.602,0.29,1792
ppml_crop_FE,yield_volatility,0.373,0.926,-1.443,2.188,1792
logit_region_FE,log_area,0.714,0.057,0.602,0.827,1799
logit_region_FE,log_gdp_pc,0.156,0.333,-0.497,0.81,1799
logit_region_FE,rd,0.235,0.147,-0.054,0.523,1799
logit_region_FE,tertiary,0.574,0.578,-0.558,1.707,1799
logit_region_FE,internet,1.327,0.958,-0.55,3.204,1799
logit_region_FE,need,-0.319,1.095,-2.466,1.828,1799
logit_region_FE,yield_volatility,0.113,1.031,-1.908,2.133,1799
logit_region_FE,log_population,0.113,0.098,-0.078,0.305,1799
logit_need9_novol,log_area,0.713,0.051,0.613,0.813,1799
logit_need9_novol,log_gdp_pc,0.347,0.346,-0.331,1.026,1799
logit_need9_novol,rd,0.315,0.123,0.074,0.556,1799
logit_need9_novol,tertiary,0.257,0.469,-0.663,1.176,1799
logit_need9_novol,internet,1.312,1.009,-0.665,3.29,1799
logit_need9_novol,need9,0.944,0.961,-0.94,2.829,1799
logit_need9_novol,log_population,0.111,0.107,-0.1,0.321,1799
ppml_need9_novol,rd,0.522,0.123,0.281,0.762,1792
ppml_need9_novol,need9,1.261,0.59,0.105,2.417,1792
ppml_need9_novol,internet,2.179,0.835,0.543,3.815,1792
ppml_need9_novol,tertiary,-0.985,0.425,-1.817,-0.153,1792
ppml_need9_novol,log_population,-0.108,0.056,-0.218,0.002,1792
logit_need9_withvol,need9,0.916,0.99,-1.024,2.856,1799
logit_need9_crop_FE,log_area,0.656,0.057,0.545,0.767,1799
logit_need9_crop_FE,rd,0.3,0.14,0.026,0.575,1799
logit_need9_crop_FE,need9,0.682,1.039,-1.354,2.719,1799
logit_needcov_ge7,need,-0.016,1.092,-2.157,2.125,1799
logit_needcov_ge9,need,-0.348,1.236,-2.77,2.075,1681
logit_alloc_strict,log_area,0.799,0.066,0.669,0.929,1799
logit_alloc_strict,rd,0.351,0.137,0.082,0.619,1799
logit_alloc_strict,need,0.141,1.013,-1.844,2.126,1799
logit_alloc_noglobal,log_area,0.741,0.061,0.621,0.862,1799
logit_alloc_noglobal,rd,0.332,0.139,0.059,0.605,1799
logit_alloc_noglobal,need,0.107,1.089,-2.028,2.242,1799
country_logit,log_area,1.1,0.333,0.447,1.754,142
country_logit,log_gdp_pc,0.481,0.658,-0.808,1.77,142
country_logit,rd,0.73,0.606,-0.458,1.918,142
country_logit,tertiary,2.058,1.205,-0.304,4.42,142
country_logit,internet,2.573,2.099,-1.541,6.688,142
country_logit,need,-0.633,2.492,-5.516,4.251,142
country_logit,log_population,-0.14,0.34,-0.805,0.526,142
country_ppml,rd,0.505,0.133,0.245,0.765,142
country_ppml,need,0.089,0.656,-1.196,1.374,142
country_ppml,internet,2.009,0.812,0.417,3.6,142
country_ppml,tertiary,-1.1,0.465,-2.013,-0.188,142
country_ppml,log_population,-0.116,0.062,-0.238,0.006,142
ppml_need9_crop_FE,need9,1.221,0.61,0.025,2.416,1792
ppml_need9_crop_FE,rd,0.503,0.107,0.293,0.713,1792
ppml_need9_crop_FE,internet,0.935,0.82,-0.671,2.542,1792
ppml_need9_crop_FE,tertiary,-0.949,0.461,-1.853,-0.046,1792
ppml_need9_crop_FE,log_population,-0.124,0.057,-0.236,-0.012,1792
