iso3,wb_income_group,need_rank_pct,need9_rank_pct,move_pp
FSM,Upper middle income,0.40932642487046633,0.7461139896373057,33.67875647668394
BHR,High income,0.12435233160621761,0.43523316062176165,31.088082901554404
RUS,High income,0.41450777202072536,0.15025906735751296,26.424870466321238
ARG,Upper middle income,0.38860103626943004,0.13471502590673576,25.38860103626943
CHN,Upper middle income,0.5492227979274611,0.29533678756476683,25.388601036269424
GRD,Upper middle income,0.20725388601036268,0.45077720207253885,24.352331606217618
MDV,Upper middle income,0.10880829015544041,0.3471502590673575,23.834196891191713
QAT,High income,0.35751295336787564,0.5958549222797928,23.834196891191713
KIR,Lower middle income,0.17616580310880828,0.40414507772020725,22.797927461139896
POL,High income,0.35233160621761656,0.12953367875647667,22.279792746113987
