,area,rd,need
baseline,0.7231859498675935,0.3228892402198962,0.8798499635311241
11-component index,0.7155992934620948,0.29362092951352986,0.001108463088428858
crop FE,0.6683532292342582,0.30970922419591534,0.6071202914721467
region FE,0.7284994938263715,0.2856168743593194,0.43055646873729125
income: High income,0.8384418294672,0.288285096431733,0.42516812319821484
income: Low income,0.7653907994657768,0.9620953396694111,-9.404778372667137
income: Lower middle income,0.6821526265567801,2.3750734942367036,0.5526645290680741
income: Upper middle income,0.714905324521608,-0.12590790384088055,1.081449426406447
excl. USA,0.7317995232522221,0.3214686872069827,0.891682672646675
excl. China,0.7281914846006527,0.38990892366311597,1.0776848062535032
excl. India,0.7249045036000262,0.3272133400875506,0.7587036633650736
