iso3,n_studies_fractional,figure1_class
AFG,0.0,0
ALB,1.0,1
DZA,6.0,3
AGO,0.0,0
ATG,0.0,0
ARG,15.25,3
ARM,0.5,1
AUS,45.14285714285714,4
AUT,2.4242424242424243,2
AZE,2.0,2
BHS,0.0,0
BHR,0.0,0
BGD,32.66666666666667,4
BRB,0.0,0
BLR,4.0,2
BEL,5.625,3
BLZ,0.0,0
BEN,2.25,2
BTN,0.0,0
BOL,1.0,1
BIH,1.0909090909090908,2
BWA,0.5,1
BRA,93.28333333333333,4
BRN,0.0,0
BGR,3.2159090909090913,2
BFA,7.699999999999999,3
BDI,0.0,0
CPV,0.0,0
KHM,2.0,2
CMR,2.0,2
CAN,38.05952380952381,4
CAF,0.0,0
TCD,0.0,0
CHL,2.0,2
HKG,0.0,0
TWN,8.0,3
CHN,252.3095238095238,5
COL,10.75,3
COM,0.0,0
COG,0.0,0
COK,0.0,0
CRI,3.0,2
HRV,3.090909090909091,2
CUB,1.0,1
CYP,3.0,2
CZE,13.757575757575758,3
CIV,1.0,1
PRK,2.0,2
COD,0.0,0
DNK,6.833333333333333,3
DJI,0.0,0
DMA,0.0,0
DOM,0.0,0
ECU,4.0,2
EGY,12.75,3
SLV,0.0,0
GNQ,0.0,0
ERI,0.0,0
EST,1.0,1
SWZ,2.0,2
ETH,39.45,4
FRO,0.0,0
FJI,0.0,0
FIN,5.625,3
FRA,14.517857142857142,3
PYF,0.0,0
GAB,0.0,0
GMB,0.0,0
GEO,0.0,0
DEU,36.708333333333336,4
GHA,9.583333333333332,3
GRC,7.0,3
GRD,0.0,0
GTM,1.0,1
GIN,0.0,0
GNB,1.0,1
GUY,0.0,0
HTI,0.0,0
HND,1.25,2
HUN,16.09090909090909,3
ISL,0.0,0
IND,292.59285714285716,5
IDN,34.875,4
IRN,49.5,4
IRQ,5.0,2
IRL,1.0,1
ISR,1.0,1
ITA,15.875,3
JAM,0.0,0
JPN,10.0,3
JOR,0.0,0
KAZ,18.5,3
KEN,21.916666666666664,4
KIR,0.0,0
KWT,0.0,0
KGZ,1.0,1
LAO,1.0,1
LVA,1.0,1
LBN,2.25,2
LSO,0.0,0
LBR,0.0,0
LBY,0.0,0
LTU,1.0,1
LUX,1.0,1
MDG,1.3333333333333333,2
MWI,5.116666666666667,3
MYS,14.5,3
MDV,0.0,0
MLI,2.0,2
MLT,0.0,0
MRT,1.0,1
MUS,0.0,0
MEX,20.2,4
FSM,0.0,0
MNG,1.6666666666666665,2
MNE,0.09090909090909091,1
MAR,19.0,3
MOZ,3.25,2
MMR,2.1666666666666665,2
NAM,0.5,1
NPL,19.166666666666664,3
NLD,8.291666666666666,3
NCL,0.0,0
NZL,1.0,1
NIC,0.0,0
NER,2.5,2
NGA,39.8,4
NIU,0.0,0
MKD,2.0,2
NOR,2.0,2
OMN,0.0,0
PAK,49.266666666666666,4
PSE,0.0,0
PAN,1.0,1
PNG,0.0,0
PRY,0.0,0
PER,12.25,3
PHL,12.0,3
POL,14.0,3
PRT,2.0,2
PRI,0.0,0
QAT,0.0,0
KOR,15.0,3
MDA,1.0,1
ROU,1.0909090909090908,2
RUS,12.059523809523808,3
RWA,9.25,3
KNA,0.0,0
LCA,0.0,0
VCT,0.0,0
WSM,0.0,0
STP,0.0,0
SAU,3.0,2
SEN,14.0,3
SRB,8.59090909090909,3
SYC,0.0,0
SLE,3.0,2
SGP,0.0,0
SVK,0.09090909090909091,1
SVN,0.09090909090909091,1
SLB,0.0,0
SOM,0.25,1
ZAF,11.583333333333332,3
SSD,2.0,2
ESP,23.0,4
LKA,14.5,3
SDN,0.0,0
SUR,0.0,0
SWE,10.0,3
CHE,1.5,2
SYR,0.25,1
TJK,0.0,0
THA,21.5,4
TLS,0.0,0
TGO,0.0,0
TON,0.0,0
TTO,0.0,0
TUN,5.0,2
TKM,0.0,0
TUV,0.0,0
TUR,14.0,3
UGA,5.5,3
UKR,31.016666666666666,4
ARE,0.0,0
GBR,16.833333333333332,3
TZA,12.7,3
USA,327.7261904761905,5
URY,4.416666666666667,2
UZB,6.0,3
VUT,0.0,0
VEN,0.5,1
VNM,22.333333333333332,4
YEM,0.0,0
ZMB,3.3333333333333335,2
ZWE,4.0,2
