iso3,gap,research_pct,need_pct,lisa_cat_gap9,high_need_low_research
AFG,-78.38516093835243,19.48717948717949,97.87234042553192,Not significant,True
ALB,-12.689579923622482,47.94871794871795,60.63829787234043,Not significant,True
DZA,33.16421167484998,73.58974358974359,40.42553191489361,Not significant,False
AGO,-69.34260774686307,19.48717948717949,88.82978723404256,Not significant,True
ATG,1.4020731042007633,19.48717948717949,18.08510638297873,Not significant,False
ARG,74.9454446262957,87.17948717948718,12.234042553191486,Not significant,False
ARM,-30.032733224222596,42.30769230769231,72.3404255319149,Not significant,True
AUS,89.47626841243863,96.92307692307692,7.4468085106382915,Not significant,False
AUT,55.098199672667754,63.07692307692307,7.97872340425532,Not significant,False
AZE,0.4828150572831475,58.46153846153847,57.97872340425532,Not significant,False
BHS,8.316966721222043,19.48717948717949,11.170212765957446,Not significant,False
BHR,-23.066012002182212,19.48717948717949,42.5531914893617,Not significant,False
BGD,28.420621931260214,93.84615384615384,65.42553191489363,Not significant,False
BRB,-4.98090561920349,19.48717948717949,24.46808510638298,Not significant,False
BLR,33.07965084560829,68.71794871794872,35.638297872340424,Not significant,False
BEL,66.1811238406983,72.56410256410255,6.38297872340425,High-High,False
BLZ,-25.725586470267324,19.48717948717949,45.21276595744681,Not significant,False
BEN,-15.35188216039279,62.30769230769231,77.6595744680851,Not significant,False
BTN,-70.40643753409711,19.48717948717949,89.8936170212766,Not significant,True
BOL,-18.540643753409704,47.94871794871795,66.48936170212765,Not significant,True
BIH,1.4811783960720175,53.07692307692308,51.59574468085106,Not significant,False
BWA,-31.096563011456624,42.30769230769231,73.40425531914893,Not significant,True
BRA,87.82324058919804,98.46153846153848,10.63829787234043,Not significant,False
BRN,10.444626295690126,19.48717948717949,9.042553191489365,High-High,False
BGR,34.21985815602836,66.66666666666666,32.4468085106383,Not significant,False
BFA,9.427168576104748,75.38461538461539,65.95744680851064,Not significant,False
BDI,-80.51282051282051,19.48717948717949,100.0,Not significant,True
CPV,-52.321331151118386,19.48717948717949,71.80851063829788,Not significant,True
KHM,5.270049099836342,58.46153846153847,53.191489361702125,Not significant,False
CMR,-11.219312602291325,58.46153846153847,69.68085106382979,Not significant,False
CAN,88.46972176759411,95.3846153846154,6.914893617021278,Not significant,False
CAF,-79.98090561920348,19.48717948717949,99.46808510638296,Not significant,True
TCD,-78.91707583196944,19.48717948717949,98.40425531914892,Not significant,True
CHL,41.97217675941081,58.46153846153847,16.48936170212766,Not significant,False
HKG,-0.1936715766502992,19.48717948717949,19.680851063829788,Not significant,False
TWN,41.85488270594654,75.8974358974359,34.04255319148936,Not significant,False
CHN,71.31478450627387,98.97435897435898,27.65957446808511,Not significant,False
COL,31.614839061647572,79.48717948717949,47.87234042553192,Not significant,False
COM,-62.95962902345882,19.48717948717949,82.4468085106383,Not significant,True
COG,-64.55537370430987,19.48717948717949,84.04255319148936,Low-Low,True
CRI,14.871794871794876,64.87179487179488,50.0,Not significant,False
HRV,50.19639934533551,66.15384615384615,15.95744680851064,Not significant,False
CUB,-0.4555373704309886,47.94871794871795,48.40425531914894,Not significant,False
CYP,21.25477359519913,64.87179487179488,43.61702127659575,Not significant,False
CZE,69.77905073649755,83.07692307692308,13.297872340425528,High-High,False
CIV,-22.264048008728857,47.94871794871795,70.2127659574468,Not significant,True
PRK,-35.68739770867431,58.46153846153847,94.14893617021278,Low-High,False
COD,-68.81069285324604,19.48717948717949,88.29787234042553,Low-Low,True
DNK,70.63557010365521,74.35897435897436,3.723404255319153,High-High,False
DJI,-16.683033278777962,19.48717948717949,36.17021276595745,Low-Low,False
DMA,-27.321331151118383,19.48717948717949,46.808510638297875,Not significant,False
DOM,-3.385160938352424,19.48717948717949,22.872340425531913,Not significant,False
ECU,-7.345881069285326,68.71794871794872,76.06382978723404,Not significant,False
EGY,32.03218767048553,82.56410256410255,50.53191489361703,Not significant,False
SLV,-35.3000545553737,19.48717948717949,54.78723404255319,Not significant,True
GNQ,-33.172394980905615,19.48717948717949,52.659574468085104,Not significant,True
ERI,-73.59792689579923,19.48717948717949,93.08510638297872,Not significant,True
EST,22.416803055100928,47.94871794871795,25.53191489361702,High-High,False
SWZ,-4.30441898527004,58.46153846153847,62.76595744680851,Not significant,False
ETH,16.64211674849973,95.8974358974359,79.25531914893617,High-Low,False
FJI,-49.66175668303329,19.48717948717949,69.14893617021278,Not significant,True
FIN,57.67048554282596,72.56410256410255,14.893617021276595,Not significant,False
FRA,80.30278232405892,86.15384615384616,5.851063829787236,High-High,False
PYF,17.891434806328427,19.48717948717949,1.5957446808510625,Not significant,False
GAB,-45.40643753409711,19.48717948717949,64.8936170212766,Low-Low,True
GMB,-67.21494817239498,19.48717948717949,86.70212765957447,Not significant,True
GEO,-51.257501363884344,19.48717948717949,70.74468085106383,Not significant,True
DEU,92.21222040370976,94.87179487179486,2.659574468085111,High-High,False
GHA,23.69339879978179,77.94871794871796,54.25531914893617,Not significant,False
GRC,48.807965084560834,74.87179487179488,26.06382978723404,Not significant,False
GRD,-24.661756683033275,19.48717948717949,44.14893617021277,Not significant,False
GTM,-20.6683033278778,47.94871794871795,68.61702127659575,Not significant,True
GIN,-41.683033278777955,19.48717948717949,61.17021276595744,Not significant,True
GNB,-39.28532460447355,47.94871794871795,87.2340425531915,Not significant,True
GUY,9.380796508456086,19.48717948717949,10.106382978723405,Not significant,False
HTI,-75.1936715766503,19.48717948717949,94.6808510638298,Not significant,True
HND,-19.02618657937807,53.84615384615385,72.87234042553192,Not significant,False
HUN,58.41789416257501,88.2051282051282,29.787234042553195,Not significant,False
ISL,-2.321331151118386,19.48717948717949,21.808510638297875,Low-High,False
IND,43.63611565739226,99.48717948717947,55.85106382978723,Not significant,False
IDN,61.38025095471903,94.35897435897436,32.97872340425532,Not significant,False
IRN,34.65084560829241,97.94871794871794,63.297872340425535,Not significant,False
IRQ,-3.955264593562461,70.51282051282051,74.46808510638297,Not significant,False
IRL,42.629569012547734,47.94871794871795,5.319148936170215,High-High,False
ISR,25.608292416803057,47.94871794871795,22.340425531914892,Not significant,False
ITA,79.18166939443535,87.6923076923077,8.510638297872347,Not significant,False
JAM,-48.066012002182205,19.48717948717949,67.5531914893617,Not significant,True
JPN,76.59028914348063,78.71794871794872,2.1276595744680833,Not significant,False
JOR,-55.51282051282051,19.48717948717949,75.0,Not significant,True
KAZ,69.01800327332244,89.23076923076924,20.212765957446805,Not significant,False
KEN,-3.949809056192038,91.7948717948718,95.74468085106383,Not significant,False
KIR,-19.874522640480087,19.48717948717949,39.361702127659576,Not significant,False
KWT,-35.831969448990726,19.48717948717949,55.319148936170215,Not significant,True
KGZ,-8.966175668303329,47.94871794871795,56.91489361702128,Not significant,True
LAO,-30.242771412984176,47.94871794871795,78.19148936170212,Not significant,True
LVA,21.352973267866886,47.94871794871795,26.595744680851062,Not significant,False
LBN,0.6055646481178414,62.30769230769231,61.702127659574465,Not significant,False
LSO,-63.49154391707583,19.48717948717949,82.97872340425532,Not significant,True
LBR,-70.93835242771414,19.48717948717949,90.42553191489364,Not significant,True
LBY,-37.95962902345882,19.48717948717949,57.446808510638306,Not significant,True
LTU,30.92744135297327,47.94871794871795,17.02127659574468,Not significant,False
LUX,43.693398799781775,47.94871794871795,4.255319148936174,High-High,False
MDG,-40.85379159847245,54.35897435897436,95.2127659574468,Not significant,False
MWI,-13.824331696672118,71.28205128205128,85.1063829787234,Not significant,False
MYS,57.19312602291326,85.38461538461539,28.191489361702125,Not significant,False
MDV,-14.023458810692851,19.48717948717949,33.51063829787234,Not significant,False
MLI,-21.85761047463174,58.46153846153847,80.31914893617021,Not significant,False
MLT,-15.0872885979269,19.48717948717949,34.57446808510639,Not significant,False
MRT,-27.58319694489908,47.94871794871795,75.53191489361703,Not significant,True
MUS,-11.363884342607744,19.48717948717949,30.851063829787233,Not significant,False
MEX,67.36497545008183,90.76923076923076,23.404255319148945,Not significant,False
MNG,8.044189852700491,55.38461538461539,47.340425531914896,Not significant,False
MNE,18.21058374249864,39.48717948717949,21.27659574468085,Not significant,False
MAR,18.466993998908904,89.74358974358975,71.27659574468085,Not significant,False
MOZ,-26.437534097108585,67.17948717948717,93.61702127659576,Not significant,False
MMR,-2.8232405891980292,61.53846153846154,64.36170212765957,Not significant,False
NAM,-38.543371522094915,42.30769230769231,80.85106382978722,Not significant,True
NPL,41.320240043644304,90.25641025641026,48.93617021276596,Not significant,False
NLD,62.04855428259683,76.41025641025641,14.361702127659576,High-High,False
NCL,-15.619203491543914,19.48717948717949,35.1063829787234,Not significant,False
NZL,29.33169667212221,47.94871794871795,18.617021276595743,Not significant,False
NIC,-54.44899072558647,19.48717948717949,73.93617021276596,Not significant,True
NER,-17.793235133660666,63.589743589743584,81.38297872340425,Not significant,False
NGA,14.495362793235133,96.4102564102564,81.91489361702128,Not significant,False
MKD,21.22749590834698,58.46153846153847,37.234042553191486,Not significant,False
NOR,39.3126022913257,58.46153846153847,19.148936170212764,High-High,False
OMN,-40.08728859792689,19.48717948717949,59.57446808510638,Not significant,True
PAK,30.41462084015275,97.43589743589745,67.02127659574468,Not significant,False
PSE,-42.746863066012,19.48717948717949,62.23404255319149,Not significant,True
PAN,9.650845608292414,47.94871794871795,38.297872340425535,Not significant,False
PNG,-60.300054555373706,19.48717948717949,79.7872340425532,Not significant,True
PRY,-18.278777959629025,19.48717948717949,37.765957446808514,Not significant,False
PER,30.47463175122749,81.53846153846153,51.06382978723404,Not significant,False
PHL,43.810692853246046,80.51282051282051,36.702127659574465,Not significant,False
POL,72.40043644298963,84.1025641025641,11.702127659574472,Not significant,False
PRT,28.14238952536825,58.46153846153847,30.319148936170215,High-High,False
PRI,14.699945444626298,19.48717948717949,4.787234042553191,Not significant,False
QAT,-39.55537370430988,19.48717948717949,59.04255319148937,Not significant,True
KOR,73.90070921985816,86.66666666666667,12.765957446808514,Not significant,False
MDA,-38.221494817239495,47.94871794871795,86.17021276595744,Not significant,True
ROU,11.0556464811784,53.07692307692308,42.02127659574468,Not significant,False
RUS,67.19585379159847,81.02564102564102,13.829787234042556,Not significant,False
RWA,-14.585379159847236,77.43589743589745,92.02127659574468,Not significant,False
LCA,-22.00218221494817,19.48717948717949,41.48936170212766,Not significant,False
VCT,-11.895799236224764,19.48717948717949,31.382978723404253,Not significant,False
WSM,-9.236224768139664,19.48717948717949,28.723404255319153,Not significant,False
STP,-57.10856519367158,19.48717948717949,76.59574468085107,Not significant,True
SAU,32.9569012547736,64.87179487179488,31.91489361702128,Not significant,False
SEN,20.272776868521547,84.1025641025641,63.82978723404256,High-Low,False
SRB,56.1783960720131,76.92307692307693,20.744680851063833,Not significant,False
