iso3,gap,research_pct,lisa_cat_gap9
AFG,-78.89798145117294,18.974358974358974,Not significant
ALB,-12.689579923622482,47.94871794871795,Not significant
DZA,33.16421167484998,73.58974358974359,Not significant
AGO,-69.85542825968358,18.974358974358974,Not significant
ATG,0.8892525913802487,18.974358974358974,Not significant
ARG,74.9454446262957,87.17948717948718,Not significant
ARM,-30.545553737043107,41.794871794871796,Not significant
AUS,89.47626841243863,96.92307692307692,Not significant
AUT,55.098199672667754,63.07692307692307,Not significant
AZE,0.48281505728314755,58.46153846153847,Not significant
BHS,7.804146208401528,18.974358974358974,Not significant
BHR,-23.578832515002727,18.974358974358974,Not significant
BGD,28.420621931260214,93.84615384615384,Not significant
BRB,-5.493726132024005,18.974358974358974,Not significant
BLR,33.07965084560829,68.71794871794872,Not significant
BEL,66.1811238406983,72.56410256410255,High-High
BLZ,-26.238406983087838,18.974358974358974,Not significant
BEN,-15.35188216039279,62.30769230769231,Not significant
BTN,-70.91925804691762,18.974358974358974,Not significant
BOL,-18.540643753409704,47.94871794871795,Not significant
BIH,1.4811783960720177,53.07692307692308,Not significant
BWA,-31.609383524277135,41.794871794871796,Not significant
BRA,87.82324058919804,98.46153846153847,Not significant
BRN,9.931805782869612,18.974358974358974,High-High
BGR,34.21985815602836,66.66666666666666,Not significant
BFA,9.427168576104748,75.38461538461539,Not significant
BDI,-81.02564102564102,18.974358974358974,Not significant
CPV,-52.8341516639389,18.974358974358974,Not significant
KHM,5.270049099836342,58.46153846153847,Not significant
CMR,-11.219312602291325,58.46153846153847,Not significant
CAN,88.46972176759411,95.38461538461539,Not significant
CAF,-80.493726132024,18.974358974358974,Not significant
TCD,-79.42989634478995,18.974358974358974,Not significant
CHL,41.97217675941081,58.46153846153847,Not significant
HKG,-0.7064920894708138,18.974358974358974,Not significant
TWN,41.85488270594654,75.8974358974359,Not significant
CHN,71.31478450627387,98.97435897435898,Not significant
COL,31.614839061647572,79.48717948717949,Not significant
COM,-63.47244953627933,18.974358974358974,Not significant
COG,-65.06819421713038,18.974358974358974,Low-Low
CRI,14.871794871794876,64.87179487179488,Not significant
HRV,50.19639934533551,66.15384615384615,Not significant
CUB,-0.45553737043098863,47.94871794871795,Not significant
CYP,21.254773595199126,64.87179487179488,Not significant
CZE,69.77905073649755,83.07692307692308,High-High
CIV,-22.264048008728857,47.94871794871795,Not significant
PRK,-35.68739770867431,58.46153846153847,Low-High
COD,-69.32351336606655,18.974358974358974,Low-Low
DNK,70.63557010365521,74.35897435897436,High-High
DJI,-17.195853791598477,18.974358974358974,Low-Low
DMA,-27.8341516639389,18.974358974358974,Not significant
DOM,-3.8979814511729387,18.974358974358974,Not significant
ECU,-7.345881069285326,68.71794871794872,Not significant
EGY,32.03218767048553,82.56410256410255,Not significant
SLV,-35.81287506819422,18.974358974358974,Not significant
GNQ,-33.68521549372613,18.974358974358974,Not significant
ERI,-74.11074740861974,18.974358974358974,Not significant
EST,22.416803055100928,47.94871794871795,High-High
SWZ,-4.30441898527004,58.46153846153847,Not significant
ETH,17.154937261320242,96.41025641025641,High-Low
FJI,-50.1745771958538,18.974358974358974,Not significant
