model,term,estimate,se,ci_low,ci_high,n
participation,log_area,0.7128426469857164,0.050999574273394695,0.6128853181829873,0.8127999757884455,1799
participation,rd,0.3155188101282671,0.12230007624199198,0.0758150653874601,0.5552225548690741,1799
participation,need,0.9496953312344134,0.9445360122351416,-0.9015612348475479,2.8009518973163745,1799
participation,log_gdp_pc,0.35078494801352206,0.3465191657827139,-0.3283801368734614,1.0299500329005056,1799
participation,tertiary,0.2582829911612852,0.4684058179693073,-0.6597755422075815,1.176341524530152,1799
participation,internet,1.3155115974448863,1.007299165250078,-0.658758488102527,3.2897816829922997,1799
participation,log_population,0.11115502709628317,0.10699070746048063,-0.09854290620671974,0.32085296039928607,1799
intensity_offset,rd,0.5231890467578348,0.12196785632607651,0.28413644108716907,0.7622416524285006,1792
intensity_offset,need,1.2781402944853801,0.5855167365897438,0.13054857842405654,2.425732010546704,1792
intensity_offset,log_gdp_pc,-0.052048454954759515,0.23745838879340245,-0.5174583448167379,0.4133614349072189,1792
intensity_offset,tertiary,-0.9758200541749913,0.42364758426342036,-1.806154061468693,-0.14548604688128963,1792
intensity_offset,internet,2.2017401680689144,0.8335655874445709,0.5679816379255824,3.8354986982122465,1792
intensity_offset,log_population,-0.10723353124141277,0.05545806689895397,-0.21592934501557548,0.0014622825327499228,1792
intensity_free_area,log_area,0.8489772501001324,0.04863200826022805,0.7536602654142309,0.9442942347860338,1792
intensity_free_area,rd,0.45377234723489873,0.1097303032042928,0.23870490494182475,0.6688397895279727,1792
intensity_free_area,need,0.9773647456157037,0.5787783484165212,-0.15701997231225273,2.11174946354366,1792
intensity_free_area,log_gdp_pc,0.023925411517735973,0.2291376425049485,-0.4251761152943773,0.47302693832984927,1792
intensity_free_area,tertiary,-0.8568699776179634,0.4402515778188548,-1.7197472142798518,0.006007259043925073,1792
intensity_free_area,internet,1.8651145811313377,0.8127999944809811,0.2720558653142602,3.458173296948415,1792
intensity_free_area,log_population,0.015231749776463993,0.06511125312637471,-0.11238396133950143,0.14284746089242942,1792
participation_cropFE,log_area,0.6564859830322577,0.05665198555988838,0.5454501316821933,0.7675218343823221,1799
participation_cropFE,rd,0.3006757488894607,0.13961331303483332,0.027038683578870903,0.5743128142000504,1799
participation_cropFE,need,0.6939338443911204,1.020325896397714,-1.3058681650419457,2.6937358538241862,1799
participation_cropFE,log_gdp_pc,0.33961218133413906,0.35899810915321195,-0.3640111831241355,1.0432355457924136,1799
participation_cropFE,tertiary,0.1576197251655822,0.5015950250974155,-0.8254884588498167,1.1407279091809812,1799
participation_cropFE,internet,1.0402266260234725,1.0656550220208831,-1.0484188370816965,3.1288720891286417,1799
participation_cropFE,log_population,0.30872851406327106,0.11671003024775353,0.07998105814309381,0.5374759699834484,1799
intensity_cropFE,rd,0.5047135313152955,0.10678479578293498,0.29541917748427826,0.7140078851463127,1792
intensity_cropFE,need,1.241114444844405,0.6043917265896619,0.05652842817468828,2.4257004615141216,1792
intensity_cropFE,log_gdp_pc,0.12687306922319075,0.20173571406215074,-0.2685216647340952,0.5222678031804767,1792
intensity_cropFE,tertiary,-0.9403098096828875,0.4600355433829224,-1.8419629063217289,-0.03865671304404594,1792
intensity_cropFE,internet,0.9575657201945096,0.8203300129290575,-0.65025156058372,2.565383000972739,1792
intensity_cropFE,log_population,-0.12319484638720635,0.05657226616415119,-0.2340744505927566,-0.012315242181656097,1792
