crop,term,estimate,se,ci_low,ci_high,n,events
wheat,log_area,0.807416968417172,0.1771459045426598,0.4602173755047885,1.1546165613295556,109,64
wheat,need9,0.18524138774031373,2.394952479322717,-4.508779216417119,4.879261991897748,109,64
maize,log_area,0.741261991589909,0.22311013107270256,0.3039741701014012,1.1785498130784169,121,67
maize,need9,-1.719641186556882,2.195632406571355,-6.023001626725743,2.583719253611979,121,67
rice,log_area,1.1679511123287558,0.2839833651642757,0.6113539443982888,1.724548280259223,88,37
rice,need9,-3.660880441906902,2.6441869175226285,-8.843391568643236,1.5216306848294323,88,37
soybean,log_area,0.9334453150308157,0.2559801008274562,0.43173353665006986,1.4351570934115616,83,19
soybean,need9,2.8986289785687225,3.234282260287206,-3.440447767431002,9.237705724568446,83,19
sugarcane,log_area,0.7574131302279067,0.3056447021046463,0.1583605220373263,1.356465738418487,64,17
sugarcane,need9,-7.808712648600827,4.090939645575405,-15.826807016855675,0.2093817196540213,64,17
