iso3,gap9,lisa_q_geodesic
AFG,-78.32947119014764,0
ALB,-12.144921498685129,0
DZA,32.66982581300284,0
AGO,-69.52118103470721,3
ATG,-0.0911292212357111,0
ARG,73.96568333897466,0
ARM,-29.574035983023933,0
AUS,88.17663446767516,0
AUT,54.49267060692061,0
AZE,0.7472596141328438,0
BHS,7.162756789126982,0
BHR,-23.92532611242742,0
BGD,28.684875152966896,0
BRB,-6.308745801546589,0
BLR,32.55916890150234,0
BEL,65.34355716405864,1
BLZ,-26.515999687556956,0
BEN,-15.17301533574608,0
BTN,-70.55745046475903,0
BOL,-17.844403363970116,0
BIH,1.688494284895981,0
BWA,-30.610305413075736,0
BRA,86.57536386596193,0
BRN,9.23529564923061,0
BGR,33.65792694040149,0
BFA,9.558153461608555,0
BDI,-80.40201005025125,0
CPV,-52.42273543885229,0
KHM,5.410472049366,0
CMR,-10.651704116437116,3
CAN,87.18723149425887,0
CAF,-79.88387533522535,3
TCD,-78.84760590517354,0
CHL,41.67990210117947,0
HKG,-1.6455333663134333,0
TWN,41.14874892597703,0
CHN,69.46129611789516,0
COL,31.194834275001952,0
COM,-63.30356445439633,0
COG,-64.85796859947405,3
COK,19.079855234722835,0
CRI,14.800687374697326,0
HRV,49.73572525841644,0
CUB,-0.2278230530892742,0
CYP,21.018303955008214,0
CZE,68.90931340641029,1
CIV,-21.471346369151448,0
PRK,-35.004035722654734,0
COD,-69.00304631968132,3
DNK,70.21115942406333,1
DJI,-17.70770953211654,0
DMA,-28.070403832634675,0
DOM,-4.754341656468874,0
ECU,-7.337204155492472,0
EGY,31.61923607675684,0
SLV,-35.842424558023275,0
GNQ,-33.76988569791965,0
ERI,-73.66625875491448,0
EST,22.051969693024713,1
SWZ,-3.9159528211003263,0
ETH,16.689665946311862,0
FJI,-49.832061863722764,0
FIN,57.05340172364413,0
FRA,79.69640950868332,1
PYF,17.00731637461921,0
GAB,-46.20511885854142,0
GMB,-67.44864217460358,0
GEO,-28.019631837946207,0
DEU,90.82979665165205,1
GHA,22.967167443434803,0
GRC,47.91574452573751,0
GRD,-25.47973025750514,0
GTM,-19.916942224073736,0
GIN,-19.211341682505797,0
GNB,-38.569791965006374,0
GUY,8.199026219178796,0
HTI,-75.22066289999219,0
HND,-18.283125471919178,0
HUN,57.35412815372199,0
ISL,-3.7180722264170605,2
IND,43.02080349936209,0
IDN,60.27547061733538,0
IRN,34.25937980055719,0
IRQ,-4.02400604056551,0
IRL,42.77735829406098,1
