weights,test,statistic,p_value,n
equal_earth,LM (lag),0.6735145207541103,0.411828962103043,142
equal_earth,LM (error),0.5671715580230473,0.4513850580017307,142
equal_earth,Robust LM (lag),0.627802856473926,0.4281623876994767,142
equal_earth,Robust LM (error),0.5214598937428645,0.4702195964343817,142
equal_earth,Moran's I (error),-0.03377489870495527,0.7653605397101136,142
geodesic,LM (lag),0.4141246868673558,0.5198833665816298,142
geodesic,LM (error),0.332604643281401,0.5641293898978164,142
geodesic,Robust LM (lag),0.6070280944046227,0.4359089844056544,142
geodesic,Robust LM (error),0.5255080508186637,0.46850151479975255,142
geodesic,Moran's I (error),-0.025740009664407384,0.9215902963282551,142
