variable,weights,k,n,morans_I,p_sim
gap9,equal_earth,4,193,0.3640902696961885,0.0001
gap9,geodesic,4,193,0.3729942196110681,0.0001
gap9,equal_earth,6,193,0.35939254848406965,0.0001
gap9,geodesic,6,193,0.36420167553933686,0.0001
gap9,equal_earth,8,193,0.33329751421472886,0.0001
gap9,geodesic,8,193,0.3494833120954726,0.0001
gap9_corrected_floor,equal_earth,6,188,0.34642249365226263,0.0001
gap9_corrected_floor,geodesic,6,188,0.3654985181486359,0.0001
gap9_tie_average (published),equal_earth,6,193,0.35939254848406965,0.0001
gap9_tie_average (published),geodesic,6,193,0.3642016755393368,0.0001
gap9_tie_min,equal_earth,6,193,0.35101785904146593,0.0001
gap9_tie_min,geodesic,6,193,0.3542602394365808,0.0001
gap9_tie_max,equal_earth,6,193,0.3705499649060006,0.0001
gap9_tie_max,geodesic,6,193,0.3781267678309551,0.0001
gap9_tie_dense,equal_earth,6,193,0.2913706881707881,0.0001
gap9_tie_dense,geodesic,6,193,0.29408265276385703,0.0001
gap9_log_count_standardised,equal_earth,6,193,0.1868494603620419,0.0001
