variable,sample,n,mean,sd,median,minimum,maximum
Log harvested area,All cells,1799,10.215123960737843,3.048420188885979,10.498718660901549,0.0,17.620811196391422
Log harvested area,Cells with research (y=1),447,12.88435111477625,2.080904169870806,13.008910204349048,0.6931471805599453,17.620811196391422
Log harvested area,Cells without research (y=0),1352,9.332620604336093,2.793085500118793,9.693757265867776,0.0,16.394817959000264
R&D expenditure (% GDP),All cells,1799,0.8059637242912728,1.0505072120267238,0.39205,0.00609,6.34589
R&D expenditure (% GDP),Cells with research (y=1),447,1.214554630872483,1.1292007590826407,0.74658,0.00609,6.34589
R&D expenditure (% GDP),Cells without research (y=0),1352,0.6708748668639054,0.9870444132029051,0.30221,0.00609,6.34589
Research-need index (0-1),All cells,1799,0.5130973741888845,0.2830137646499159,0.5233160621761658,0.015544041450777202,1.0
Research-need index (0-1),Cells with research (y=1),447,0.3987550857182599,0.2807443197699749,0.34196891191709844,0.015544041450777202,0.9740932642487047
Research-need index (0-1),Cells without research (y=0),1352,0.5509013704509919,0.27353692977046745,0.5699481865284974,0.015544041450777202,1.0
Log GDP per capita,All cells,1799,9.599245798227784,1.0868108259536284,9.725787523141353,6.972149720121178,11.785532818233106
Log GDP per capita,Cells with research (y=1),447,9.941272948847198,0.9935491894274802,10.012979283269607,7.279980376884753,11.785532818233106
Log GDP per capita,Cells without research (y=0),1352,9.48616433644755,1.0929683873956133,9.645839893499767,6.972149720121178,11.785532818233106
Tertiary enrolment (share),All cells,1799,0.46676933250774605,0.32628983411681833,0.455027618408203,0.0194981002807617,1.6511341857910198
Tertiary enrolment (share),Cells with research (y=1),447,0.5791632119181825,0.31909751936766667,0.656692276000977,0.0270813684546823,1.6511341857910198
Tertiary enrolment (share),Cells without research (y=0),1352,0.42960952178550854,0.3201792432098179,0.385013945445142,0.0194981002807617,1.6511341857910198
Internet use (share),All cells,1799,0.7051033572983434,0.26091450943034533,0.8195705992000001,0.08595999718,1.0
Internet use (share),Cells with research (y=1),447,0.7747339932018569,0.22292249684572008,0.8586389923,0.08949831060999999,1.0
Internet use (share),Cells without research (y=0),1352,0.6820819858124926,0.2684409982635405,0.7885151517000001,0.08595999718,1.0
Log population,All cells,1799,16.835463283161353,1.6321752110237122,16.902630510181925,11.512165176023819,21.10434639375845
Log population,Cells with research (y=1),447,17.72079193475767,1.6033590656225565,17.75485479618037,13.34250883893541,21.10434639375845
Log population,Cells without research (y=0),1352,16.542754771871746,1.5335157447537409,16.721859334183577,11.512165176023819,21.10434639375845
Fractional study count,All cells,1799,1.0835263417948244,6.641389930350126,0.0,0.0,159.51944444444445
Fractional study count,Cells with research (y=1),447,4.360769326373353,12.78645591296688,1.25,0.041666666666666664,159.51944444444445
Fractional study count,Cells without research (y=0),1352,0.0,0.0,0.0,0.0,0.0
